Plasmid_ID,Ori's present,Identity of each ori,Cov of each ori,ARG's present,Identity of ARGs,Cov of ARGs
seq_14,ColE1,99.83,100.00,blaTEM-1,100.00,100.00
seq_15,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_16,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_34,ColE1,99.83,100.00,blaTEM-1,100.00,100.00
seq_43,ColE1,99.83,100.00,blaTEM-1,100.00,100.00
seq_46,ColE1,99.83,100.00,blaTEM-1,100.00,100.00
seq_47,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_48,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_49,ColE1,99.83,100.00,blaTEM-1,100.00,100.00
seq_50,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_52,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_53,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_54,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_56,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_57,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_58,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_59,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_6,ColE1,99.83,100.00,"blaTEM-1,blaTEM-1","100.00,100.00","100.00,100.00"
seq_60,"ColE1,ColE1","99.49,99.49","100.00,100.00",blaTEM-1,100.00,100.00
seq_65,ColE1,99.66,100.00,aph(3')-Ia,99.26,100.00
seq_72,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_73,"ColE1,ColE1","99.49,99.49","100.00,100.00",blaTEM-1,100.00,100.00
seq_74,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_75,ColE1,99.83,100.00,blaTEM-116,100.00,100.00
seq_77,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_8,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_82,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_83,ColE1,99.49,100.00,blaTEM-116,100.00,100.00
seq_85,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_86,ColE1,99.49,100.00,blaTEM-116,100.00,100.00
seq_89,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_91,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_92,"ColE1,ColE1","99.66,99.49","100.00,100.00","aph(3')-Ia,blaTEM-1","99.26,100.00","100.00,100.00"
seq_97,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_98,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_99,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
