Plasmid_ID,reason failed
seq_44,"ARG low-threshold count 3 outside [1,2]; repeat ≥ 50"
seq_45,repeat ≥ 50
seq_47,"ARG low-threshold count 3 outside [1,2]; repeat ≥ 50"
seq_50,"ORI strict count 0 < required 1 (ID≥99.0, Cov≥99.0); repeat ≥ 50"
seq_51,repeat ≥ 50
seq_52,repeat ≥ 50
seq_53,No ORI; No ARG; repeat ≥ 50
seq_54,"ORI strict count 0 < required 1 (ID≥99.0, Cov≥99.0); ARG strict count 0 < required 1 (ID≥100.0, Cov≥100.0)"
seq_55,"ORI low-threshold count 5 outside [1,1]; ARG low-threshold count 5 outside [1,2]; repeat ≥ 50"
seq_56,"ARG low-threshold count 0 outside [1,2]; repeat ≥ 50"
seq_57,repeat ≥ 50
seq_58,"ORI low-threshold count 5 outside [1,1]; ARG low-threshold count 5 outside [1,2]; repeat ≥ 50"
seq_59,"ORI strict count 0 < required 1 (ID≥99.0, Cov≥99.0); repeat ≥ 50"
seq_60,"ORI strict count 0 < required 1 (ID≥99.0, Cov≥99.0); repeat ≥ 50"
seq_61,"ORI low-threshold count 0 outside [1,1]; ARG low-threshold count 0 outside [1,2]; repeat ≥ 50"
seq_62,"ORI strict count 0 < required 1 (ID≥99.0, Cov≥99.0); repeat ≥ 50"
seq_63,No ORI; No ARG
seq_64,"ORI low-threshold count 5 outside [1,1]; ARG low-threshold count 5 outside [1,2]; repeat ≥ 50"
seq_65,"ARG low-threshold count 3 outside [1,2]; repeat ≥ 50"
seq_66,repeat ≥ 50
seq_67,"ARG low-threshold count 3 outside [1,2]; repeat ≥ 50"
seq_68,"ORI low-threshold count 6 outside [1,1]; ARG low-threshold count 5 outside [1,2]; repeat ≥ 50"
seq_69,"ORI strict count 0 < required 1 (ID≥99.0, Cov≥99.0)"
seq_70,"ORI strict count 0 < required 1 (ID≥99.0, Cov≥99.0); repeat ≥ 50"
seq_71,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,2]; repeat ≥ 50"
seq_72,No ORI; No ARG
seq_73,repeat ≥ 50
seq_74,"ORI low-threshold count 4 outside [1,1]; ARG low-threshold count 4 outside [1,2]; repeat ≥ 50"
seq_75,"ORI low-threshold count 5 outside [1,1]; ARG low-threshold count 5 outside [1,2]; repeat ≥ 50"
seq_76,"ORI strict count 0 < required 1 (ID≥99.0, Cov≥99.0); repeat ≥ 50"
seq_77,"ARG strict count 0 < required 1 (ID≥100.0, Cov≥100.0); repeat ≥ 50"
seq_78,repeat ≥ 50
seq_79,No ORI; No ARG; repeat ≥ 50
seq_8,"ARG low-threshold count 3 outside [1,2]; repeat ≥ 50"
seq_80,"ARG low-threshold count 0 outside [1,2]"
seq_81,No ORI; No ARG; repeat ≥ 50
seq_82,"ORI low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_83,"ORI low-threshold count 0 outside [1,1]"
seq_84,No ORI; No ARG; repeat ≥ 50
seq_85,"ORI low-threshold count 5 outside [1,1]; ARG low-threshold count 5 outside [1,2]; repeat ≥ 50"
seq_86,"ORI low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_87,No ORI; No ARG; repeat ≥ 50
seq_88,"ORI low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_89,"ORI low-threshold count 5 outside [1,1]; ARG low-threshold count 5 outside [1,2]; repeat ≥ 50"
seq_90,"ORI low-threshold count 5 outside [1,1]; ARG low-threshold count 5 outside [1,2]; repeat ≥ 50"
seq_91,repeat ≥ 50
seq_92,repeat ≥ 50
seq_93,"ORI strict count 0 < required 1 (ID≥99.0, Cov≥99.0); repeat ≥ 50"
seq_94,"ORI low-threshold count 6 outside [1,1]; ARG low-threshold count 5 outside [1,2]; repeat ≥ 50"
seq_95,"ORI low-threshold count 5 outside [1,1]; ARG low-threshold count 5 outside [1,2]; repeat ≥ 50"
seq_96,"ORI low-threshold count 5 outside [1,1]; ARG low-threshold count 5 outside [1,2]; repeat ≥ 50"
seq_97,"ORI low-threshold count 5 outside [1,1]; ARG low-threshold count 5 outside [1,2]; repeat ≥ 50"
seq_98,repeat ≥ 50
seq_99,repeat ≥ 50
