sequence,qseqid,ori_type,pct_identity,pct_cov_subject,q_start,q_end,strand,qlen,sstart,send,slen,length,bitscore,evalue
seq_0,seq_0,ColE1,99.491,100.0,1386,1974,-,7060,589,1,589,589,1049,0.0
seq_1,seq_1,ColE1,99.83,100.0,1882,2470,+,7066,1,589,589,589,1058,0.0
seq_10,seq_10,ColE1,99.83,100.0,2185,2773,+,6779,1,589,589,589,1058,0.0
seq_11,seq_11,ColE1,99.83,100.0,2142,2730,+,6763,1,589,589,589,1058,0.0
seq_14,seq_14,ColE1,99.83,100.0,2297,2885,+,7298,1,589,589,589,1058,0.0
seq_15,seq_15,ColE1,99.491,100.0,1153,1741,-,6967,589,1,589,589,1049,0.0
seq_17,seq_17,ColE1,99.491,100.0,1114,1702,-,6768,589,1,589,589,1049,0.0
seq_18,seq_18,ColE1,99.83,100.0,1836,2424,+,7126,1,589,589,589,1058,0.0
seq_19,seq_19,ColE1,99.491,100.0,1237,1825,-,6894,589,1,589,589,1049,0.0
seq_2,seq_2,ColE1,99.491,100.0,2321,2909,-,7131,589,1,589,589,1049,0.0
seq_20,seq_20,ColE1,99.83,100.0,2845,3433,+,6685,1,589,589,589,1058,0.0
seq_21,seq_21,ColE1,99.83,100.0,2322,2910,+,6779,1,589,589,589,1058,0.0
seq_22,seq_22,ColE1,99.66,100.0,2554,3142,+,3375,1,589,589,589,1054,0.0
seq_26,seq_26,ColE1,99.83,100.0,2547,3135,+,7090,1,589,589,589,1058,0.0
seq_28,seq_28,ColE1,99.83,100.0,2035,2623,+,7344,1,589,589,589,1058,0.0
seq_29,seq_29,ColE1,99.83,100.0,3172,3760,+,6766,1,589,589,589,1058,0.0
seq_3,seq_3,ColE1,99.83,100.0,2354,2942,+,6751,1,589,589,589,1058,0.0
seq_31,seq_31,ColE1,99.491,100.0,1216,1804,-,6791,589,1,589,589,1049,0.0
seq_32,seq_32,ColE1,99.83,100.0,2800,3388,+,6910,1,589,589,589,1058,0.0
seq_33,seq_33,ColE1,99.83,100.0,2737,3325,+,6994,1,589,589,589,1058,0.0
seq_34,seq_34,ColE1,99.66,100.0,1891,2479,+,4058,1,589,589,589,1054,0.0
seq_35,seq_35,ColE1,99.83,100.0,2269,2857,+,6728,1,589,589,589,1058,0.0
seq_36,seq_36,ColE1,99.83,100.0,2102,2690,+,6878,1,589,589,589,1058,0.0
seq_38,seq_38,ColE1,99.83,100.0,2379,2967,+,6602,1,589,589,589,1058,0.0
seq_40,seq_40,ColE1,99.83,100.0,2347,2935,+,6716,1,589,589,589,1058,0.0
seq_41,seq_41,ColE1,99.491,100.0,1604,2192,-,6852,589,1,589,589,1049,0.0
seq_42,seq_42,ColE1,99.83,100.0,2492,3080,+,7205,1,589,589,589,1058,0.0
seq_45,seq_45,ColE1,99.83,100.0,2046,2634,+,5394,1,589,589,589,1058,0.0
seq_47,seq_47,ColE1,99.83,100.0,2476,3064,+,6629,1,589,589,589,1058,0.0
seq_49,seq_49,ColE1,99.83,100.0,3349,3937,+,7530,1,589,589,589,1058,0.0
seq_52,seq_52,ColE1,99.83,100.0,1216,1804,-,4241,589,1,589,589,1058,0.0
seq_56,seq_56,ColE1,99.66,100.0,3259,3847,+,4334,1,589,589,589,1054,0.0
seq_59,seq_59,ColE1,99.491,100.0,2035,2623,-,7609,589,1,589,589,1049,0.0
seq_62,seq_62,ColE1,99.66,100.0,2745,3333,+,4439,1,589,589,589,1054,0.0
seq_64,seq_64,ColE1,99.66,100.0,2943,3531,+,4711,1,589,589,589,1054,0.0
seq_66,seq_66,ColE1,99.66,100.0,3175,3763,+,4666,1,589,589,589,1054,0.0
seq_68,seq_68,ColE1,99.83,100.0,3071,3659,+,7769,1,589,589,589,1058,0.0
seq_69,seq_69,ColE1,99.66,100.0,3729,4317,+,4616,1,589,589,589,1054,0.0
seq_74,seq_74,ColE1,99.66,100.0,2676,3264,+,4321,1,589,589,589,1054,0.0
seq_77,seq_77,ColE1,99.66,100.0,2786,3374,+,4970,1,589,589,589,1054,0.0
seq_82,seq_82,ColE1,99.66,100.0,3020,3608,+,4572,1,589,589,589,1054,0.0
seq_85,seq_85,ColE1,99.66,100.0,3246,3834,+,4643,1,589,589,589,1054,0.0
seq_86,seq_86,ColE1,99.66,100.0,3570,4158,+,4640,1,589,589,589,1054,0.0
seq_87,seq_87,ColE1,99.83,100.0,1044,1632,-,3048,589,1,589,589,1058,0.0
seq_9,seq_9,ColE1,99.66,100.0,2210,2798,+,3383,1,589,589,589,1054,0.0
seq_92,seq_92,ColE1,99.66,100.0,4085,4673,+,4704,1,589,589,589,1054,0.0
seq_94,seq_94,ColE1,99.66,100.0,2875,3463,+,4744,1,589,589,589,1054,0.0
seq_95,seq_95,ColE1,99.66,100.0,3327,3915,+,4786,1,589,589,589,1054,0.0
seq_96,seq_96,ColE1,99.491,100.0,3182,3770,-,7785,589,1,589,589,1049,0.0
seq_98,seq_98,ColE1,99.83,100.0,1309,1897,-,4230,589,1,589,589,1058,0.0
seq_99,seq_99,ColE1,99.66,100.0,3265,3853,+,4319,1,589,589,589,1054,0.0
