sequence,symbol,name,start,end,strand,pct_identity,pct_cov
seq_1,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,656,1462,+,99.26,100.0
seq_1,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4755,5612,+,100.0,100.0
seq_1,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,11358,12215,+,100.0,100.0
seq_1,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,14635,15492,-,100.0,100.0
seq_10,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2368,3225,-,100.0,100.0
seq_11,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2640,3497,-,100.0,100.0
seq_12,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,9430,10236,+,99.26,100.0
seq_13,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1420,2226,+,99.26,100.0
seq_13,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,5482,6339,-,100.0,100.0
seq_15,catA1,type A-1 chloramphenicol O-acetyltransferase,427,864,+,100.0,66.67
seq_15,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3057,3914,-,100.0,100.0
seq_15,aph(4)-Ia,aminoglycoside O-phosphotransferase APH(4)-Ia,6683,7702,+,100.0,99.71
seq_15,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,9640,10497,-,100.0,100.0
seq_16,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2570,3427,-,100.0,100.0
seq_16,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,3719,4525,+,99.26,100.0
seq_16,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,6951,7808,-,100.0,100.0
seq_17,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,6593,7381,+,100.0,100.0
seq_18,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,3121,3927,+,99.26,100.0
seq_18,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,5133,5990,-,100.0,100.0
seq_19,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,5744,6535,+,99.62,100.0
seq_19,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,7484,8341,+,100.0,100.0
seq_20,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,652,1509,+,100.0,100.0
seq_20,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,3083,3940,+,100.0,100.0
seq_20,catA1,type A-1 chloramphenicol O-acetyltransferase,11475,11912,+,100.0,66.67
seq_20,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,14030,14821,+,99.62,100.0
seq_20,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,17560,18351,+,99.62,100.0
seq_21,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3978,4835,-,100.0,100.0
seq_22,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2665,3522,+,100.0,100.0
seq_22,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,10290,11147,+,100.0,100.0
seq_23,aph(4)-Ia,aminoglycoside O-phosphotransferase APH(4)-Ia,952,1971,+,100.0,99.71
