sequence,qseqid,ori_type,pct_identity,pct_cov_subject,q_start,q_end,strand,qlen,sstart,send,slen,length,bitscore,evalue
seq_0,seq_0,ColE1,99.83,100.0,11673,12261,+,16589,1,589,589,589,1058,0.0
seq_0,seq_0,ColE1,99.66,100.0,2653,3241,+,16589,1,589,589,589,1054,0.0
seq_1,seq_1,ColE1,99.66,100.0,3370,3958,-,7270,589,1,589,589,1054,0.0
seq_10,seq_10,ColE1,99.66,100.0,1147,1735,+,9709,1,589,589,589,1054,0.0
seq_10,seq_10,ColE1,99.66,100.0,7708,8296,-,9709,589,1,589,589,1054,0.0
seq_11,seq_11,ColE1,99.66,100.0,10916,11504,+,28382,1,589,589,589,1054,0.0
seq_11,seq_11,ColE1,99.66,100.0,14762,15350,-,28382,589,1,589,589,1054,0.0
seq_11,seq_11,ColE1,99.66,100.0,23142,23730,+,28382,1,589,589,589,1054,0.0
seq_11,seq_11,ColE1,99.66,100.0,3733,4321,-,28382,589,1,589,589,1054,0.0
seq_11,seq_11,ColE1,99.66,100.0,26998,27586,+,28382,1,589,589,589,1054,0.0
seq_12,seq_12,ColE1,99.66,100.0,9154,9742,-,12157,589,1,589,589,1054,0.0
seq_12,seq_12,ColE1,99.66,100.0,3041,3629,-,12157,589,1,589,589,1054,0.0
seq_14,seq_14,ColE1,99.83,100.0,7705,8293,+,16624,1,589,589,589,1058,0.0
seq_14,seq_14,ColE1,99.83,100.0,13697,14285,+,16624,1,589,589,589,1058,0.0
seq_14,seq_14,ColE1,99.66,100.0,3287,3875,-,16624,589,1,589,589,1054,0.0
seq_15,seq_15,ColE1,99.83,100.0,2120,2708,+,21323,1,589,589,589,1058,0.0
seq_15,seq_15,ColE1,99.83,100.0,17224,17812,+,21323,1,589,589,589,1058,0.0
seq_15,seq_15,ColE1,99.66,100.0,10442,11030,+,21323,1,589,589,589,1054,0.0
seq_16,seq_16,ColE1,99.66,100.0,13401,13989,-,19095,589,1,589,589,1054,0.0
seq_16,seq_16,ColE1,99.66,100.0,8906,9494,-,19095,589,1,589,589,1054,0.0
seq_16,seq_16,ColE1,99.66,100.0,3736,4324,-,19095,589,1,589,589,1054,0.0
seq_17,seq_17,ColE1,99.66,100.0,10416,11004,-,13648,589,1,589,589,1054,0.0
seq_17,seq_17,ColE1,99.66,100.0,3415,4003,-,13648,589,1,589,589,1054,0.0
seq_17,seq_17,ColE1,99.66,100.0,1135,1723,-,13648,589,1,589,589,1054,0.0
seq_18,seq_18,ColE1,99.66,100.0,22863,23451,-,25609,589,1,589,589,1054,0.0
seq_18,seq_18,ColE1,99.66,100.0,5718,6306,+,25609,1,589,589,589,1054,0.0
seq_18,seq_18,ColE1,99.66,100.0,18933,19521,-,25609,589,1,589,589,1054,0.0
seq_18,seq_18,ColE1,99.66,100.0,13068,13656,-,25609,589,1,589,589,1054,0.0
seq_19,seq_19,ColE1,99.66,100.0,1867,2455,-,10457,589,1,589,589,1054,0.0
seq_19,seq_19,ColE1,99.491,100.0,5868,6456,-,10457,589,1,589,589,1049,0.0
seq_2,seq_2,ColE1,99.66,100.0,9572,10160,-,12581,589,1,589,589,1054,0.0
seq_2,seq_2,ColE1,99.66,100.0,3300,3888,-,12581,589,1,589,589,1054,0.0
seq_20,seq_20,ColE1,99.66,100.0,4774,5362,+,11503,1,589,589,589,1054,0.0
seq_20,seq_20,ColE1,99.66,100.0,9473,10061,+,11503,1,589,589,589,1054,0.0
seq_21,seq_21,ColE1,99.66,100.0,1910,2498,+,13212,1,589,589,589,1054,0.0
seq_21,seq_21,ColE1,99.66,100.0,7667,8255,+,13212,1,589,589,589,1054,0.0
seq_22,seq_22,ColE1,99.83,100.0,2924,3512,+,11733,1,589,589,589,1058,0.0
seq_22,seq_22,ColE1,99.83,100.0,9054,9642,+,11733,1,589,589,589,1058,0.0
seq_23,seq_23,ColE1,99.66,100.0,6240,6828,+,28812,1,589,589,589,1054,0.0
seq_23,seq_23,ColE1,99.66,100.0,9953,10541,+,28812,1,589,589,589,1054,0.0
seq_23,seq_23,ColE1,99.66,100.0,15195,15783,+,28812,1,589,589,589,1054,0.0
seq_23,seq_23,ColE1,99.66,100.0,26900,27488,+,28812,1,589,589,589,1054,0.0
seq_24,seq_24,ColE1,99.83,100.0,2769,3357,+,18555,1,589,589,589,1058,0.0
seq_24,seq_24,ColE1,99.83,100.0,14809,15397,-,18555,589,1,589,589,1058,0.0
seq_24,seq_24,ColE1,99.66,100.0,8527,9115,+,18555,1,589,589,589,1054,0.0
seq_25,seq_25,ColE1,99.83,100.0,2420,3008,+,12655,1,589,589,589,1058,0.0
seq_25,seq_25,ColE1,99.83,100.0,9040,9628,+,12655,1,589,589,589,1058,0.0
seq_26,seq_26,ColE1,99.83,100.0,16742,17330,+,21307,1,589,589,589,1058,0.0
seq_26,seq_26,ColE1,99.66,100.0,7570,8158,+,21307,1,589,589,589,1054,0.0
seq_26,seq_26,ColE1,99.66,100.0,2625,3213,-,21307,589,1,589,589,1054,0.0
seq_27,seq_27,ColE1,99.83,100.0,4081,4669,+,17764,1,589,589,589,1058,0.0
seq_27,seq_27,ColE1,99.66,100.0,14239,14827,-,17764,589,1,589,589,1054,0.0
seq_27,seq_27,ColE1,99.66,100.0,8876,9464,+,17764,1,589,589,589,1054,0.0
seq_28,seq_28,ColE1,99.83,100.0,3109,3697,+,13437,1,589,589,589,1058,0.0
seq_28,seq_28,ColE1,99.66,100.0,9820,10408,-,13437,589,1,589,589,1054,0.0
seq_29,seq_29,ColE1,99.66,100.0,2977,3565,+,7243,1,589,589,589,1054,0.0
seq_3,seq_3,ColE1,99.66,100.0,475,1063,+,11411,1,589,589,589,1054,0.0
seq_3,seq_3,ColE1,99.66,100.0,4406,4994,-,11411,589,1,589,589,1054,0.0
seq_3,seq_3,ColE1,99.66,100.0,1742,2330,-,11411,589,1,589,589,1054,0.0
seq_3,seq_3,ColE1,99.66,100.0,9673,10261,+,11411,1,589,589,589,1054,0.0
seq_30,seq_30,ColE1,99.83,100.0,3038,3626,+,33081,1,589,589,589,1058,0.0
seq_30,seq_30,ColE1,99.83,100.0,24324,24912,+,33081,1,589,589,589,1058,0.0
seq_30,seq_30,ColE1,99.66,100.0,15167,15755,+,33081,1,589,589,589,1054,0.0
seq_30,seq_30,ColE1,99.66,100.0,9540,10128,-,33081,589,1,589,589,1054,0.0
seq_31,seq_31,ColE1,99.66,100.0,2560,3148,+,47781,1,589,589,589,1054,0.0
seq_31,seq_31,ColE1,99.66,100.0,8964,9552,+,47781,1,589,589,589,1054,0.0
seq_31,seq_31,ColE1,99.66,100.0,21478,22066,+,47781,1,589,589,589,1054,0.0
seq_31,seq_31,ColE1,99.66,100.0,33067,33655,+,47781,1,589,589,589,1054,0.0
seq_31,seq_31,ColE1,99.66,100.0,44668,45256,+,47781,1,589,589,589,1054,0.0
seq_31,seq_31,Col(pHAD28)_1__KU674895,89.313,100.0,12526,12656,-,47781,131,1,131,131,174,5.8500000000000004e-43
seq_32,seq_32,ColE1,99.83,100.0,6565,7153,+,16946,1,589,589,589,1058,0.0
seq_32,seq_32,ColE1,99.66,100.0,2749,3337,-,16946,589,1,589,589,1054,0.0
seq_32,seq_32,ColE1,99.491,100.0,11367,11955,-,16946,589,1,589,589,1049,0.0
seq_33,seq_33,ColE1,99.83,100.0,15983,16571,+,43095,1,589,589,589,1058,0.0
seq_33,seq_33,ColE1,99.83,100.0,31259,31847,+,43095,1,589,589,589,1058,0.0
seq_33,seq_33,ColE1,99.66,100.0,6909,7497,+,43095,1,589,589,589,1054,0.0
seq_33,seq_33,ColE1,99.66,100.0,41750,42338,+,43095,1,589,589,589,1054,0.0
seq_34,seq_34,ColE1,99.66,100.0,11121,11709,-,14765,589,1,589,589,1054,0.0
seq_34,seq_34,ColE1,99.66,100.0,6749,7337,-,14765,589,1,589,589,1054,0.0
