Plasmid_ID,reason failed
seq_0,"ORI low-threshold count 0 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_1,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 5 outside [1,1]; repeat ≥ 50"
seq_10,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_11,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_12,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_13,No ORI; No ARG; repeat ≥ 50
seq_14,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_15,"ORI low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_16,"ORI low-threshold count 0 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_17,"ORI low-threshold count 5 outside [1,1]; ARG low-threshold count 6 outside [1,1]; repeat ≥ 50"
seq_18,"ORI low-threshold count 4 outside [1,1]; ARG low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_19,"ORI low-threshold count 4 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_2,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_20,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_21,"ORI low-threshold count 4 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_22,"ORI low-threshold count 5 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_23,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_24,"ORI low-threshold count 4 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_25,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_26,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_27,"ORI low-threshold count 4 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_28,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_29,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_3,"ORI low-threshold count 4 outside [1,1]; ARG low-threshold count 5 outside [1,1]; repeat ≥ 50"
seq_30,"ORI low-threshold count 5 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_31,No ORI; No ARG; repeat ≥ 50
seq_32,"ORI low-threshold count 4 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_33,"ORI low-threshold count 8 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_34,"ORI low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_35,"ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_36,"ORI low-threshold count 0 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_37,"ORI strict count 0 < required 1 (ID≥99.0, Cov≥99.0); ARG strict count 0 < required 1 (ID≥100.0, Cov≥100.0); repeat ≥ 50"
seq_38,"ORI low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_39,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_4,"ORI low-threshold count 4 outside [1,1]; ARG low-threshold count 5 outside [1,1]; repeat ≥ 50"
seq_40,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_41,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_42,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_43,"ORI low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_44,"ORI low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_45,"ORI low-threshold count 4 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_46,"ORI low-threshold count 4 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_47,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_48,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_49,"ORI low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_5,"ARG low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_50,"ORI low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_51,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_52,"ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_53,"ARG strict count 0 < required 1 (ID≥100.0, Cov≥100.0); repeat ≥ 50"
seq_54,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_55,repeat ≥ 50
seq_56,"ORI low-threshold count 4 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
