sequence,symbol,name,start,end,strand,pct_identity,pct_cov
seq_0,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1194,2051,+,100.0,100.0
seq_1,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1176,2033,+,100.0,100.0
seq_10,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1277,2134,+,100.0,100.0
seq_11,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1305,2162,+,100.0,100.0
seq_12,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1173,2030,+,100.0,100.0
seq_13,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1179,2036,+,100.0,100.0
seq_14,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1150,2007,+,100.0,100.0
seq_15,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1274,2131,+,100.0,100.0
seq_16,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1166,2023,+,100.0,100.0
seq_17,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,98,853,+,100.0,95.82
seq_17,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1892,2749,+,100.0,100.0
seq_18,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1236,2093,+,100.0,100.0
seq_19,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1289,2146,+,100.0,100.0
seq_2,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1255,2112,+,100.0,100.0
seq_20,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1188,2045,+,100.0,100.0
seq_21,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1264,2121,+,100.0,100.0
seq_22,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1534,2391,+,100.0,100.0
seq_23,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1350,2207,+,100.0,100.0
seq_24,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1149,2006,+,100.0,100.0
seq_25,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,193,948,+,100.0,95.82
seq_25,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2148,3005,+,100.0,100.0
seq_26,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,97,858,+,99.21,96.58
seq_26,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1919,2776,+,100.0,100.0
seq_27,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1197,2054,+,100.0,100.0
seq_28,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1432,2289,+,100.0,100.0
seq_29,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1346,2203,+,100.0,100.0
