Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
McClain_PlasmidGPT_RL_GFP_cassette	NA	McClain_PlasmidGPT_RL_GFP_cassette_0000	1638	2495	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
McClain_PlasmidGPT_RL_GFP_cassette	NA	McClain_PlasmidGPT_RL_GFP_cassette_0000	4517	5137	-	tet(C)	tetracycline efflux MFS transporter Tet(C)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIALX	207	396	52.27	100.00	207	WP_001297013.1	tetracycline efflux MFS transporter Tet(C)	NA	NA
McClain_PlasmidGPT_RL_GFP_cassette	NA	McClain_PlasmidGPT_RL_GFP_cassette_0001	1447	2304	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
McClain_PlasmidGPT_RL_GFP_cassette	NA	McClain_PlasmidGPT_RL_GFP_cassette_0001	4326	4946	-	tet(C)	tetracycline efflux MFS transporter Tet(C)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIALX	207	396	52.27	100.00	207	WP_001297013.1	tetracycline efflux MFS transporter Tet(C)	NA	NA
McClain_PlasmidGPT_RL_GFP_cassette	NA	McClain_PlasmidGPT_RL_GFP_cassette_0002	1638	2495	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
McClain_PlasmidGPT_RL_GFP_cassette	NA	McClain_PlasmidGPT_RL_GFP_cassette_0002	4517	5137	-	tet(C)	tetracycline efflux MFS transporter Tet(C)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIALX	207	396	52.27	100.00	207	WP_001297013.1	tetracycline efflux MFS transporter Tet(C)	NA	NA
McClain_PlasmidGPT_RL_GFP_cassette	NA	McClain_PlasmidGPT_RL_GFP_cassette_0003	1638	2495	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
McClain_PlasmidGPT_RL_GFP_cassette	NA	McClain_PlasmidGPT_RL_GFP_cassette_0003	4517	5137	-	tet(C)	tetracycline efflux MFS transporter Tet(C)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIALX	207	396	52.27	100.00	207	WP_001297013.1	tetracycline efflux MFS transporter Tet(C)	NA	NA
McClain_PlasmidGPT_RL_GFP_cassette	NA	McClain_PlasmidGPT_RL_GFP_cassette_0004	1450	2307	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
McClain_PlasmidGPT_RL_GFP_cassette	NA	McClain_PlasmidGPT_RL_GFP_cassette_0004	4329	4949	-	tet(C)	tetracycline efflux MFS transporter Tet(C)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIALX	207	396	52.27	100.00	207	WP_001297013.1	tetracycline efflux MFS transporter Tet(C)	NA	NA
McClain_PlasmidGPT_RL_GFP_cassette	NA	McClain_PlasmidGPT_RL_GFP_cassette_0005	1638	2495	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
McClain_PlasmidGPT_RL_GFP_cassette	NA	McClain_PlasmidGPT_RL_GFP_cassette_0005	4517	5137	-	tet(C)	tetracycline efflux MFS transporter Tet(C)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIALX	207	396	52.27	100.00	207	WP_001297013.1	tetracycline efflux MFS transporter Tet(C)	NA	NA
McClain_PlasmidGPT_RL_GFP_cassette	NA	McClain_PlasmidGPT_RL_GFP_cassette_0006	1638	2495	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
