sequence,qseqid,ori_type,pct_identity,pct_cov_subject,q_start,q_end,strand,qlen,sstart,send,slen,length,bitscore,evalue
seq_0,seq_0,ColE1,99.83,100.0,2218,2806,+,7084,1,589,589,589,1058,0.0
seq_1,seq_1,ColE1,99.83,100.0,2106,2694,+,7063,1,589,589,589,1058,0.0
seq_10,seq_10,ColE1,99.83,100.0,1831,2419,+,7046,1,589,589,589,1058,0.0
seq_11,seq_11,ColE1,99.83,100.0,2252,2840,+,7056,1,589,589,589,1058,0.0
seq_12,seq_12,ColE1,99.83,100.0,2346,2934,+,7259,1,589,589,589,1058,0.0
seq_13,seq_13,ColE1,99.83,100.0,2299,2887,+,7112,1,589,589,589,1058,0.0
seq_14,seq_14,ColE1,99.83,100.0,2010,2598,+,7124,1,589,589,589,1058,0.0
seq_15,seq_15,ColE1,99.83,100.0,2051,2639,+,7063,1,589,589,589,1058,0.0
seq_16,seq_16,ColE1,99.83,100.0,2331,2919,+,7178,1,589,589,589,1058,0.0
seq_17,seq_17,ColE1,99.83,100.0,2058,2646,+,7047,1,589,589,589,1058,0.0
seq_18,seq_18,ColE1,99.83,100.0,1870,2458,+,7099,1,589,589,589,1058,0.0
seq_19,seq_19,ColE1,99.83,100.0,2105,2693,+,7090,1,589,589,589,1058,0.0
seq_2,seq_2,ColE1,99.83,100.0,2474,3062,+,7106,1,589,589,589,1058,0.0
seq_20,seq_20,ColE1,99.83,100.0,1994,2582,+,7073,1,589,589,589,1058,0.0
seq_21,seq_21,ColE1,99.83,100.0,2032,2620,+,7086,1,589,589,589,1058,0.0
seq_22,seq_22,ColE1,99.83,100.0,2232,2820,+,7110,1,589,589,589,1058,0.0
seq_23,seq_23,ColE1,99.83,100.0,2621,3209,+,7111,1,589,589,589,1058,0.0
seq_24,seq_24,ColE1,99.83,100.0,2388,2976,+,7133,1,589,589,589,1058,0.0
seq_25,seq_25,ColE1,99.83,100.0,2424,3012,+,7174,1,589,589,589,1058,0.0
seq_26,seq_26,ColE1,99.83,100.0,1897,2485,+,7044,1,589,589,589,1058,0.0
seq_27,seq_27,ColE1,99.83,100.0,2436,3024,+,7257,1,589,589,589,1058,0.0
seq_28,seq_28,ColE1,99.83,100.0,2735,3323,+,7575,1,589,589,589,1058,0.0
seq_29,seq_29,ColE1,99.83,100.0,2254,2842,+,7165,1,589,589,589,1058,0.0
seq_3,seq_3,ColE1,99.83,100.0,1960,2548,+,6668,1,589,589,589,1058,0.0
seq_30,seq_30,ColE1,99.83,100.0,1803,2391,+,6981,1,589,589,589,1058,0.0
seq_31,seq_31,ColE1,99.83,100.0,2105,2693,+,7118,1,589,589,589,1058,0.0
seq_32,seq_32,ColE1,99.83,100.0,2955,3543,+,7206,1,589,589,589,1058,0.0
seq_33,seq_33,ColE1,99.83,100.0,2026,2614,+,7096,1,589,589,589,1058,0.0
seq_34,seq_34,ColE1,99.491,100.0,1112,1700,-,6741,589,1,589,589,1049,0.0
seq_35,seq_35,ColE1,99.83,100.0,1753,2341,+,6993,1,589,589,589,1058,0.0
seq_36,seq_36,ColE1,99.83,100.0,1904,2492,+,7005,1,589,589,589,1058,0.0
seq_37,seq_37,ColE1,99.83,100.0,2550,3138,+,7240,1,589,589,589,1058,0.0
seq_38,seq_38,ColE1,99.83,100.0,2030,2618,+,7061,1,589,589,589,1058,0.0
seq_39,seq_39,ColE1,99.83,100.0,1997,2585,+,7087,1,589,589,589,1058,0.0
seq_4,seq_4,ColE1,99.83,100.0,1934,2522,+,7101,1,589,589,589,1058,0.0
seq_40,seq_40,ColE1,99.83,100.0,2159,2747,+,7067,1,589,589,589,1058,0.0
seq_41,seq_41,ColE1,99.83,100.0,2050,2638,+,7073,1,589,589,589,1058,0.0
seq_42,seq_42,ColE1,99.83,100.0,2441,3029,+,7107,1,589,589,589,1058,0.0
seq_43,seq_43,ColE1,99.83,100.0,2711,3299,+,7136,1,589,589,589,1058,0.0
seq_44,seq_44,ColE1,99.491,100.0,1282,1870,-,6776,589,1,589,589,1049,0.0
seq_45,seq_45,ColE1,99.83,100.0,2698,3286,+,7077,1,589,589,589,1058,0.0
seq_46,seq_46,ColE1,99.83,100.0,1917,2505,+,7155,1,589,589,589,1058,0.0
seq_47,seq_47,ColE1,99.83,100.0,2123,2711,+,7028,1,589,589,589,1058,0.0
seq_48,seq_48,ColE1,99.83,100.0,2346,2934,+,7107,1,589,589,589,1058,0.0
seq_49,seq_49,ColE1,99.83,100.0,1968,2556,+,7107,1,589,589,589,1058,0.0
seq_5,seq_5,ColE1,99.83,100.0,2266,2854,+,7129,1,589,589,589,1058,0.0
seq_50,seq_50,ColE1,99.83,100.0,2328,2916,+,7120,1,589,589,589,1058,0.0
seq_51,seq_51,ColE1,99.83,100.0,1774,2362,+,7107,1,589,589,589,1058,0.0
seq_52,seq_52,ColE1,99.83,100.0,2105,2693,+,7290,1,589,589,589,1058,0.0
seq_53,seq_53,ColE1,99.83,100.0,2014,2602,+,7057,1,589,589,589,1058,0.0
seq_54,seq_54,ColE1,99.83,100.0,2573,3161,+,7241,1,589,589,589,1058,0.0
seq_56,seq_56,ColE1,99.83,100.0,1932,2520,+,7060,1,589,589,589,1058,0.0
seq_57,seq_57,ColE1,99.83,100.0,2025,2613,+,7235,1,589,589,589,1058,0.0
seq_58,seq_58,ColE1,99.83,100.0,1749,2337,+,7074,1,589,589,589,1058,0.0
seq_59,seq_59,ColE1,99.83,100.0,1902,2490,+,7064,1,589,589,589,1058,0.0
seq_6,seq_6,ColE1,99.83,100.0,2178,2766,+,7250,1,589,589,589,1058,0.0
seq_60,seq_60,ColE1,99.83,100.0,2206,2794,+,7067,1,589,589,589,1058,0.0
seq_62,seq_62,ColE1,99.83,100.0,2118,2706,+,7064,1,589,589,589,1058,0.0
seq_63,seq_63,ColE1,99.83,100.0,1975,2563,+,7059,1,589,589,589,1058,0.0
seq_64,seq_64,ColE1,99.83,100.0,1743,2331,+,7079,1,589,589,589,1058,0.0
seq_65,seq_65,ColE1,99.83,100.0,1989,2577,+,7050,1,589,589,589,1058,0.0
seq_66,seq_66,ColE1,99.83,100.0,1968,2556,+,7159,1,589,589,589,1058,0.0
seq_67,seq_67,ColE1,99.83,100.0,2073,2661,+,7152,1,589,589,589,1058,0.0
seq_68,seq_68,ColE1,99.83,100.0,2415,3003,+,7229,1,589,589,589,1058,0.0
seq_69,seq_69,ColE1,99.83,100.0,2348,2936,+,7068,1,589,589,589,1058,0.0
seq_7,seq_7,ColE1,99.83,100.0,2268,2856,+,7250,1,589,589,589,1058,0.0
