Plasmid_ID,reason failed
seq_11,repeat ≥ 50
seq_13,repeat ≥ 50
seq_2,repeat ≥ 50
seq_21,"ORI strict count 0 < required 1 (ID≥99.0, Cov≥99.0); ARG strict count 0 < required 1 (ID≥100.0, Cov≥100.0); repeat ≥ 50"
seq_23,repeat ≥ 50
seq_25,"ARG low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_27,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]"
seq_30,No ORI; No ARG
seq_31,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_32,repeat ≥ 50
seq_33,repeat ≥ 50
seq_35,repeat ≥ 50
seq_39,"ORI low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_57,repeat ≥ 50
seq_59,"ARG low-threshold count 2 outside [1,1]"
seq_61,"ARG low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_65,No ORI; No ARG; repeat ≥ 50
seq_67,"ORI low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_69,No ORI; No ARG; repeat ≥ 50
seq_75,repeat ≥ 50
seq_77,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_79,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_89,repeat ≥ 50
seq_94,repeat ≥ 50
