sequence,qseqid,ori_type,pct_identity,pct_cov_subject,q_start,q_end,strand,qlen,sstart,send,slen,length,bitscore,evalue
seq_0,seq_0,ColE1,99.83,100.0,1990,2578,+,6555,1,589,589,589,1058,0.0
seq_1,seq_1,ColE1,99.83,100.0,2582,3170,+,7422,1,589,589,589,1058,0.0
seq_10,seq_10,ColE1,99.83,100.0,1839,2427,+,6533,1,589,589,589,1058,0.0
seq_11,seq_11,ColE1,99.83,100.0,2879,3467,+,7592,1,589,589,589,1058,0.0
seq_12,seq_12,ColE1,99.83,100.0,1757,2345,+,6528,1,589,589,589,1058,0.0
seq_14,seq_14,ColE1,99.83,100.0,2111,2699,+,6696,1,589,589,589,1058,0.0
seq_15,seq_15,ColE1,99.83,100.0,2596,3184,+,7426,1,589,589,589,1058,0.0
seq_16,seq_16,ColE1,99.491,100.0,1979,2567,-,6737,589,1,589,589,1049,0.0
seq_17,seq_17,ColE1,99.83,100.0,2590,3178,+,7425,1,589,589,589,1058,0.0
seq_18,seq_18,ColE1,99.83,100.0,1811,2399,+,6542,1,589,589,589,1058,0.0
seq_19,seq_19,ColE1,99.83,100.0,2504,3092,+,7802,1,589,589,589,1058,0.0
seq_2,seq_2,ColE1,99.83,100.0,2364,2952,+,6609,1,589,589,589,1058,0.0
seq_20,seq_20,ColE1,99.83,100.0,1877,2465,+,6584,1,589,589,589,1058,0.0
seq_21,seq_21,ColE1,99.83,100.0,3105,3693,+,7902,1,589,589,589,1058,0.0
seq_22,seq_22,ColE1,99.491,100.0,1311,1899,-,6616,589,1,589,589,1049,0.0
seq_23,seq_23,ColE1,99.83,100.0,2587,3175,+,7422,1,589,589,589,1058,0.0
seq_24,seq_24,ColE1,99.83,100.0,1865,2453,+,6555,1,589,589,589,1058,0.0
seq_25,seq_25,ColE1,99.491,100.0,1124,1712,-,4346,589,1,589,589,1049,0.0
seq_26,seq_26,ColE1,99.83,100.0,1913,2501,+,6550,1,589,589,589,1058,0.0
seq_27,seq_27,ColE1,99.83,100.0,6362,6950,+,10118,1,589,589,589,1058,0.0
seq_27,seq_27,ColE1,99.491,100.0,1124,1712,-,10118,589,1,589,589,1049,0.0
seq_28,seq_28,ColE1,99.83,100.0,1982,2570,+,6589,1,589,589,589,1058,0.0
seq_29,seq_29,ColE1,99.491,100.0,1855,2443,-,7452,589,1,589,589,1049,0.0
seq_3,seq_3,ColE1,99.83,100.0,2970,3558,+,7926,1,589,589,589,1058,0.0
seq_31,seq_31,ColE1,99.83,100.0,2605,3193,+,7412,1,589,589,589,1058,0.0
seq_32,seq_32,ColE1,99.83,100.0,1763,2351,+,6568,1,589,589,589,1058,0.0
seq_33,seq_33,ColE1,99.83,100.0,2605,3193,+,7382,1,589,589,589,1058,0.0
seq_34,seq_34,ColE1,99.491,100.0,1235,1823,-,6692,589,1,589,589,1049,0.0
seq_35,seq_35,ColE1,99.83,100.0,2657,3245,+,7460,1,589,589,589,1058,0.0
seq_36,seq_36,ColE1,99.83,100.0,1776,2364,+,6527,1,589,589,589,1058,0.0
seq_37,seq_37,ColE1,99.83,100.0,2580,3168,+,7420,1,589,589,589,1058,0.0
seq_38,seq_38,ColE1,99.83,100.0,2007,2595,+,6578,1,589,589,589,1058,0.0
seq_39,seq_39,ColE1,99.83,100.0,5200,5788,+,9145,1,589,589,589,1058,0.0
seq_4,seq_4,ColE1,99.83,100.0,2404,2992,+,6636,1,589,589,589,1058,0.0
seq_40,seq_40,ColE1,99.83,100.0,1956,2544,+,6566,1,589,589,589,1058,0.0
seq_41,seq_41,ColE1,99.66,100.0,3307,3895,+,5200,1,589,589,589,1054,0.0
seq_42,seq_42,ColE1,99.83,100.0,2073,2661,+,6576,1,589,589,589,1058,0.0
seq_43,seq_43,ColE1,99.491,100.0,1844,2432,-,7537,589,1,589,589,1049,0.0
seq_44,seq_44,ColE1,99.83,100.0,1841,2429,+,6537,1,589,589,589,1058,0.0
seq_45,seq_45,ColE1,99.83,100.0,2585,3173,+,7489,1,589,589,589,1058,0.0
seq_46,seq_46,ColE1,99.83,100.0,1880,2468,+,6576,1,589,589,589,1058,0.0
seq_47,seq_47,ColE1,99.83,100.0,2598,3186,+,7424,1,589,589,589,1058,0.0
seq_48,seq_48,ColE1,99.83,100.0,2098,2686,+,6590,1,589,589,589,1058,0.0
seq_49,seq_49,ColE1,99.83,100.0,2844,3432,+,8120,1,589,589,589,1058,0.0
seq_5,seq_5,ColE1,99.83,100.0,2486,3074,+,7365,1,589,589,589,1058,0.0
seq_50,seq_50,ColE1,99.83,100.0,2129,2717,+,6614,1,589,589,589,1058,0.0
seq_51,seq_51,ColE1,99.83,100.0,2612,3200,+,7460,1,589,589,589,1058,0.0
seq_52,seq_52,ColE1,99.491,100.0,1144,1732,-,6583,589,1,589,589,1049,0.0
seq_53,seq_53,ColE1,99.83,100.0,2421,3009,+,7793,1,589,589,589,1058,0.0
seq_54,seq_54,ColE1,99.83,100.0,1796,2384,+,6535,1,589,589,589,1058,0.0
seq_55,seq_55,ColE1,99.83,100.0,2374,2962,+,7728,1,589,589,589,1058,0.0
seq_56,seq_56,ColE1,99.83,100.0,2282,2870,+,6521,1,589,589,589,1058,0.0
seq_57,seq_57,ColE1,99.83,100.0,2888,3476,+,7496,1,589,589,589,1058,0.0
seq_58,seq_58,ColE1,99.83,100.0,1974,2562,+,6538,1,589,589,589,1058,0.0
