Plasmid_ID,reason failed
seq_0,"ORI low-threshold count 0 outside [1,1]"
seq_1,"ORI low-threshold count 0 outside [1,1]"
seq_10,"ORI low-threshold count 0 outside [1,1]"
seq_11,"ORI low-threshold count 0 outside [1,1]"
seq_12,No ORI; No ARG
seq_13,"ORI low-threshold count 0 outside [1,1]"
seq_14,"ORI low-threshold count 0 outside [1,1]"
seq_15,"ORI low-threshold count 0 outside [1,1]"
seq_16,"ORI low-threshold count 0 outside [1,1]"
seq_17,"ORI low-threshold count 0 outside [1,1]"
seq_18,"ORI low-threshold count 0 outside [1,1]"
seq_19,"ORI low-threshold count 0 outside [1,1]"
seq_20,"ORI low-threshold count 0 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_21,"ORI low-threshold count 0 outside [1,1]"
seq_22,"ORI low-threshold count 0 outside [1,1]"
seq_23,"ORI low-threshold count 0 outside [1,1]"
seq_24,"ORI low-threshold count 0 outside [1,1]"
seq_25,"ORI low-threshold count 0 outside [1,1]"
seq_26,"ORI low-threshold count 0 outside [1,1]"
seq_27,"ORI low-threshold count 0 outside [1,1]"
seq_29,"ORI low-threshold count 0 outside [1,1]"
seq_3,"ORI low-threshold count 0 outside [1,1]"
seq_30,"ORI low-threshold count 0 outside [1,1]"
seq_31,"ORI low-threshold count 0 outside [1,1]"
seq_32,"ORI low-threshold count 0 outside [1,1]"
seq_33,"ORI low-threshold count 0 outside [1,1]"
seq_34,"ORI low-threshold count 0 outside [1,1]"
seq_35,"ORI low-threshold count 0 outside [1,1]"
seq_36,"ORI low-threshold count 0 outside [1,1]"
seq_37,"ORI low-threshold count 0 outside [1,1]"
seq_38,"ORI low-threshold count 0 outside [1,1]"
seq_39,"ORI low-threshold count 0 outside [1,1]"
seq_4,"ORI low-threshold count 0 outside [1,1]"
seq_40,"ORI low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_41,"ORI low-threshold count 0 outside [1,1]"
seq_42,No ORI; No ARG
seq_43,"ORI low-threshold count 0 outside [1,1]"
seq_44,"ORI low-threshold count 0 outside [1,1]"
seq_45,"ORI low-threshold count 0 outside [1,1]"
seq_46,"ORI low-threshold count 0 outside [1,1]"
seq_47,"ORI low-threshold count 0 outside [1,1]"
seq_48,"ORI low-threshold count 0 outside [1,1]"
seq_5,"ORI low-threshold count 0 outside [1,1]"
seq_50,"ORI low-threshold count 0 outside [1,1]"
seq_51,"ORI low-threshold count 0 outside [1,1]"
seq_52,"ORI strict count 0 < required 1 (ID≥99.0, Cov≥99.0)"
seq_53,"ORI low-threshold count 0 outside [1,1]"
seq_54,"ORI low-threshold count 0 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_55,"ORI low-threshold count 0 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_56,"ORI low-threshold count 0 outside [1,1]"
seq_58,"ORI low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_59,"ORI low-threshold count 0 outside [1,1]"
seq_6,"ORI strict count 0 < required 1 (ID≥99.0, Cov≥99.0)"
seq_60,"ORI low-threshold count 0 outside [1,1]"
seq_61,"ORI low-threshold count 0 outside [1,1]"
seq_62,"ORI low-threshold count 0 outside [1,1]"
seq_63,"ORI low-threshold count 0 outside [1,1]"
seq_64,"ORI low-threshold count 0 outside [1,1]"
seq_65,"ORI low-threshold count 0 outside [1,1]"
seq_66,"ORI low-threshold count 0 outside [1,1]"
seq_67,"ORI low-threshold count 0 outside [1,1]"
seq_68,"ORI low-threshold count 0 outside [1,1]"
seq_69,"ORI low-threshold count 0 outside [1,1]"
seq_7,"ORI low-threshold count 0 outside [1,1]"
seq_70,"ORI low-threshold count 0 outside [1,1]"
seq_71,"ORI low-threshold count 0 outside [1,1]"
seq_72,"ORI low-threshold count 0 outside [1,1]"
seq_73,"ORI low-threshold count 0 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_74,"ORI low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_75,"ORI low-threshold count 0 outside [1,1]"
seq_76,"ORI low-threshold count 0 outside [1,1]"
seq_77,"ORI low-threshold count 0 outside [1,1]"
seq_78,"ORI low-threshold count 0 outside [1,1]"
seq_79,"ORI low-threshold count 0 outside [1,1]"
seq_8,"ORI low-threshold count 0 outside [1,1]"
seq_80,"ORI low-threshold count 0 outside [1,1]"
seq_81,"ORI low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_82,"ORI low-threshold count 0 outside [1,1]"
seq_83,"ORI low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_84,"ORI low-threshold count 0 outside [1,1]"
seq_85,"ORI low-threshold count 0 outside [1,1]"
seq_86,"ORI low-threshold count 0 outside [1,1]"
seq_87,"ORI low-threshold count 0 outside [1,1]"
seq_89,"ORI low-threshold count 0 outside [1,1]"
seq_9,"ORI low-threshold count 0 outside [1,1]"
seq_90,"ORI low-threshold count 0 outside [1,1]"
seq_91,"ORI low-threshold count 0 outside [1,1]"
seq_92,"ORI low-threshold count 0 outside [1,1]"
seq_93,"ORI low-threshold count 0 outside [1,1]"
seq_94,"ORI low-threshold count 0 outside [1,1]"
seq_95,"ORI low-threshold count 0 outside [1,1]"
seq_96,"ORI low-threshold count 0 outside [1,1]"
seq_97,"ORI low-threshold count 0 outside [1,1]"
seq_98,"ORI low-threshold count 0 outside [1,1]; repeat ≥ 50"
