sequence,symbol,name,start,end,strand,pct_identity,pct_cov
seq_0,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1179,2036,+,100.0,100.0
seq_1,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1169,2026,+,100.0,100.0
seq_10,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1437,2294,+,100.0,100.0
seq_11,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,179,934,+,100.0,95.82
seq_11,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2038,2895,+,100.0,100.0
seq_12,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1323,2180,+,100.0,100.0
seq_13,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1413,2270,+,100.0,100.0
seq_14,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,78,833,+,100.0,95.82
seq_14,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1911,2768,+,100.0,100.0
seq_15,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1529,2386,+,100.0,100.0
seq_16,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,69,824,+,100.0,95.82
seq_16,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1972,2829,+,100.0,100.0
seq_17,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1261,2118,+,100.0,100.0
seq_18,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,123,878,+,100.0,95.82
seq_18,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1922,2779,+,100.0,100.0
seq_19,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1315,2172,+,100.0,100.0
seq_2,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,10,765,+,100.0,95.82
seq_2,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1900,2757,+,100.0,100.0
seq_20,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1273,2130,+,100.0,100.0
seq_21,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1313,2170,+,100.0,100.0
seq_22,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1176,2033,+,100.0,100.0
seq_23,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1405,2262,+,100.0,100.0
seq_24,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,276,1031,+,100.0,95.82
seq_24,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2072,2929,+,100.0,100.0
seq_25,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1196,2053,+,100.0,100.0
seq_26,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1261,2118,+,100.0,100.0
seq_27,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1303,2160,+,100.0,100.0
seq_28,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1410,2267,+,100.0,100.0
seq_29,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1166,2023,+,100.0,100.0
seq_3,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1160,2017,+,100.0,100.0
seq_30,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1500,2357,+,100.0,100.0
seq_31,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1182,2039,+,100.0,100.0
seq_32,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,241,1053,+,94.46,99.62
seq_32,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2042,2899,+,100.0,100.0
seq_33,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1217,2074,+,100.0,100.0
seq_34,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1431,2288,+,100.0,100.0
seq_35,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1185,2042,+,100.0,100.0
seq_36,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1555,2412,+,100.0,100.0
seq_37,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1313,2170,+,100.0,100.0
seq_38,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,135,920,+,97.33,99.62
seq_38,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1990,2847,+,100.0,100.0
seq_39,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1382,2239,+,100.0,100.0
seq_4,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1184,2041,+,100.0,100.0
seq_40,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,45,800,+,100.0,95.82
seq_40,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,876,1667,+,96.97,99.62
seq_40,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2656,3513,+,100.0,100.0
seq_41,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1186,2043,+,100.0,100.0
seq_42,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1266,2123,+,100.0,100.0
