sequence,qseqid,ori_type,pct_identity,pct_cov_subject,q_start,q_end,strand,qlen,sstart,send,slen,length,bitscore,evalue
seq_0,seq_0,ColE1,99.66,100.0,2228,2816,+,3983,1,589,589,589,1054,0.0
seq_1,seq_1,ColE1,99.66,100.0,2210,2798,+,3965,1,589,589,589,1054,0.0
seq_10,seq_10,ColE1,99.66,100.0,2311,2899,+,4066,1,589,589,589,1054,0.0
seq_11,seq_11,ColE1,99.66,100.0,2339,2927,+,4094,1,589,589,589,1054,0.0
seq_12,seq_12,ColE1,99.66,100.0,2207,2795,+,3962,1,589,589,589,1054,0.0
seq_13,seq_13,ColE1,99.66,100.0,2213,2801,+,3968,1,589,589,589,1054,0.0
seq_14,seq_14,ColE1,99.66,100.0,2184,2772,+,3939,1,589,589,589,1054,0.0
seq_15,seq_15,ColE1,99.66,100.0,2308,2896,+,4063,1,589,589,589,1054,0.0
seq_16,seq_16,ColE1,99.66,100.0,2200,2788,+,3955,1,589,589,589,1054,0.0
seq_17,seq_17,ColE1,99.66,100.0,2926,3514,+,4681,1,589,589,589,1054,0.0
seq_18,seq_18,ColE1,99.66,100.0,2270,2858,+,4025,1,589,589,589,1054,0.0
seq_19,seq_19,ColE1,99.66,100.0,2323,2911,+,4078,1,589,589,589,1054,0.0
seq_2,seq_2,ColE1,99.66,100.0,2289,2877,+,4044,1,589,589,589,1054,0.0
seq_20,seq_20,ColE1,99.66,100.0,2222,2810,+,3977,1,589,589,589,1054,0.0
seq_21,seq_21,ColE1,99.66,100.0,2298,2886,+,4053,1,589,589,589,1054,0.0
seq_22,seq_22,ColE1,99.66,100.0,2568,3156,+,4323,1,589,589,589,1054,0.0
seq_23,seq_23,ColE1,99.66,100.0,2384,2972,+,4139,1,589,589,589,1054,0.0
seq_24,seq_24,ColE1,99.66,100.0,2183,2771,+,3938,1,589,589,589,1054,0.0
seq_25,seq_25,ColE1,99.66,100.0,3182,3770,+,4937,1,589,589,589,1054,0.0
seq_26,seq_26,ColE1,99.66,100.0,2953,3541,+,4708,1,589,589,589,1054,0.0
seq_27,seq_27,ColE1,99.66,100.0,2231,2819,+,3986,1,589,589,589,1054,0.0
seq_28,seq_28,ColE1,99.66,100.0,2466,3054,+,4221,1,589,589,589,1054,0.0
seq_29,seq_29,ColE1,99.66,100.0,2380,2968,+,4135,1,589,589,589,1054,0.0
seq_3,seq_3,ColE1,99.66,100.0,2299,2887,+,4054,1,589,589,589,1054,0.0
seq_30,seq_30,ColE1,99.66,100.0,2346,2934,+,4101,1,589,589,589,1054,0.0
seq_31,seq_31,ColE1,99.66,100.0,2301,2889,+,4056,1,589,589,589,1054,0.0
