sequence,symbol,name,start,end,strand,pct_identity,pct_cov
seq_0,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,833,1690,+,100.0,100.0
seq_0,tet(C),tetracycline efflux MFS transporter Tet(C),3712,4332,-,100.0,52.27
seq_1,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,988,1845,+,100.0,100.0
seq_1,tet(C),tetracycline efflux MFS transporter Tet(C),3867,4487,-,100.0,52.27
seq_10,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,845,1702,+,100.0,100.0
seq_10,tet(C),tetracycline efflux MFS transporter Tet(C),3724,4344,-,100.0,52.27
seq_11,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,859,1716,+,100.0,100.0
seq_11,tet(C),tetracycline efflux MFS transporter Tet(C),3738,4358,-,100.0,52.27
seq_12,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,833,1690,+,100.0,100.0
seq_12,tet(C),tetracycline efflux MFS transporter Tet(C),3712,4332,-,100.0,52.27
seq_13,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1127,1984,+,100.0,100.0
seq_13,tet(C),tetracycline efflux MFS transporter Tet(C),4006,4626,-,100.0,52.27
seq_14,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,852,1709,+,100.0,100.0
seq_14,tet(C),tetracycline efflux MFS transporter Tet(C),3731,4351,-,100.0,52.27
seq_15,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,858,1715,+,100.0,100.0
seq_15,tet(C),tetracycline efflux MFS transporter Tet(C),3737,4357,-,100.0,52.27
seq_16,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,757,1614,+,100.0,100.0
seq_16,tet(C),tetracycline efflux MFS transporter Tet(C),3636,4256,-,100.0,52.27
seq_17,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,779,1636,+,100.0,100.0
seq_17,tet(C),tetracycline efflux MFS transporter Tet(C),3658,4278,-,100.0,52.27
seq_18,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,918,1775,+,100.0,100.0
seq_18,tet(C),tetracycline efflux MFS transporter Tet(C),3797,4417,-,100.0,52.27
seq_19,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,955,1812,+,100.0,100.0
seq_19,tet(C),tetracycline efflux MFS transporter Tet(C),3834,4454,-,100.0,52.27
