sequence,qseqid,ori_type,pct_identity,pct_cov_subject,q_start,q_end,strand,qlen,sstart,send,slen,length,bitscore,evalue
seq_2,seq_2,ColE1,99.66,100.0,2718,3306,+,4077,1,589,589,589,1054,0.0
seq_28,seq_28,ColE1,99.66,100.0,2674,3262,+,4647,1,589,589,589,1054,0.0
seq_40,seq_40,ColE1,99.66,100.0,3597,4185,+,5001,1,589,589,589,1054,0.0
seq_40,seq_40,ColE1,99.491,100.0,111,699,+,5001,1,589,589,589,1049,0.0
seq_49,seq_49,ColE1,99.66,100.0,2767,3355,+,4878,1,589,589,589,1054,0.0
seq_52,seq_52,Col(pHAD28)_1__KU674895,89.313,100.0,331,461,+,4672,1,131,131,131,174,5.72e-44
seq_57,seq_57,ColE1,99.66,100.0,2717,3305,+,4891,1,589,589,589,1054,0.0
seq_6,seq_6,Col(pHAD28)_1__KU674895,89.313,100.0,311,441,+,5106,1,131,131,131,174,6.25e-44
seq_88,seq_88,ColE1,99.66,100.0,1374,1962,-,3567,589,1,589,589,1054,0.0
seq_99,seq_99,ColE1,99.66,100.0,2670,3258,+,4867,1,589,589,589,1054,0.0
