sequence,qseqid,ori_type,pct_identity,pct_cov_subject,q_start,q_end,strand,qlen,sstart,send,slen,length,bitscore,evalue
seq_0,seq_0,ColE1,99.83,100.0,2671,3259,+,8143,1,589,589,589,1058,0.0
seq_1,seq_1,ColE1,99.83,100.0,2677,3265,+,8117,1,589,589,589,1058,0.0
seq_10,seq_10,ColE1,99.83,100.0,2480,3068,+,7942,1,589,589,589,1058,0.0
seq_11,seq_11,ColE1,99.83,100.0,2480,3068,+,7957,1,589,589,589,1058,0.0
seq_12,seq_12,ColE1,99.83,100.0,2671,3259,+,8112,1,589,589,589,1058,0.0
seq_13,seq_13,ColE1,99.83,100.0,2480,3068,+,7944,1,589,589,589,1058,0.0
seq_14,seq_14,ColE1,99.83,100.0,2671,3259,+,8129,1,589,589,589,1058,0.0
seq_15,seq_15,ColE1,99.83,100.0,2671,3259,+,8106,1,589,589,589,1058,0.0
seq_16,seq_16,ColE1,99.83,100.0,2677,3265,+,8108,1,589,589,589,1058,0.0
seq_17,seq_17,ColE1,99.83,100.0,2480,3068,+,7942,1,589,589,589,1058,0.0
seq_18,seq_18,ColE1,99.83,100.0,2671,3259,+,8110,1,589,589,589,1058,0.0
seq_19,seq_19,ColE1,99.83,100.0,2671,3259,+,8104,1,589,589,589,1058,0.0
seq_2,seq_2,ColE1,99.83,100.0,2511,3099,+,7943,1,589,589,589,1058,0.0
seq_20,seq_20,ColE1,99.83,100.0,2671,3259,+,8148,1,589,589,589,1058,0.0
seq_21,seq_21,ColE1,99.83,100.0,2671,3259,+,8137,1,589,589,589,1058,0.0
seq_22,seq_22,ColE1,99.83,100.0,2671,3259,+,8140,1,589,589,589,1058,0.0
seq_23,seq_23,ColE1,99.83,100.0,2671,3259,+,8095,1,589,589,589,1058,0.0
seq_24,seq_24,ColE1,99.83,100.0,2585,3173,+,7579,1,589,589,589,1058,0.0
seq_25,seq_25,ColE1,99.83,100.0,2681,3269,+,8158,1,589,589,589,1058,0.0
seq_26,seq_26,ColE1,99.83,100.0,2671,3259,+,8099,1,589,589,589,1058,0.0
seq_27,seq_27,ColE1,99.83,100.0,2480,3068,+,7896,1,589,589,589,1058,0.0
seq_28,seq_28,ColE1,99.83,100.0,2671,3259,+,8117,1,589,589,589,1058,0.0
seq_29,seq_29,ColE1,99.83,100.0,2671,3259,+,8120,1,589,589,589,1058,0.0
seq_3,seq_3,ColE1,99.83,100.0,2683,3271,+,8094,1,589,589,589,1058,0.0
seq_30,seq_30,ColE1,99.83,100.0,2671,3259,+,8127,1,589,589,589,1058,0.0
seq_31,seq_31,ColE1,99.83,100.0,2671,3259,+,8133,1,589,589,589,1058,0.0
seq_32,seq_32,ColE1,99.83,100.0,2688,3276,+,8133,1,589,589,589,1058,0.0
seq_33,seq_33,ColE1,99.83,100.0,2677,3265,+,8104,1,589,589,589,1058,0.0
seq_34,seq_34,ColE1,99.83,100.0,2480,3068,+,7920,1,589,589,589,1058,0.0
seq_35,seq_35,ColE1,99.83,100.0,2400,2988,+,7859,1,589,589,589,1058,0.0
seq_36,seq_36,ColE1,99.83,100.0,2480,3068,+,7946,1,589,589,589,1058,0.0
seq_37,seq_37,ColE1,99.83,100.0,2683,3271,+,8100,1,589,589,589,1058,0.0
seq_38,seq_38,ColE1,99.83,100.0,2671,3259,+,8132,1,589,589,589,1058,0.0
seq_39,seq_39,ColE1,99.83,100.0,2486,3074,+,7979,1,589,589,589,1058,0.0
seq_4,seq_4,ColE1,99.83,100.0,2681,3269,+,8076,1,589,589,589,1058,0.0
seq_40,seq_40,ColE1,99.83,100.0,2671,3259,+,8098,1,589,589,589,1058,0.0
seq_41,seq_41,ColE1,99.83,100.0,2671,3259,+,8127,1,589,589,589,1058,0.0
seq_42,seq_42,ColE1,99.83,100.0,2480,3068,+,7943,1,589,589,589,1058,0.0
seq_43,seq_43,ColE1,99.83,100.0,2671,3259,+,8137,1,589,589,589,1058,0.0
seq_44,seq_44,ColE1,99.83,100.0,2671,3259,+,8081,1,589,589,589,1058,0.0
seq_45,seq_45,ColE1,99.83,100.0,2480,3068,+,7970,1,589,589,589,1058,0.0
seq_46,seq_46,ColE1,99.83,100.0,2671,3259,+,8094,1,589,589,589,1058,0.0
seq_47,seq_47,ColE1,99.83,100.0,2671,3259,+,8121,1,589,589,589,1058,0.0
seq_48,seq_48,ColE1,99.83,100.0,2671,3259,+,8098,1,589,589,589,1058,0.0
seq_49,seq_49,ColE1,99.83,100.0,2677,3265,+,8153,1,589,589,589,1058,0.0
seq_5,seq_5,ColE1,99.83,100.0,2486,3074,+,7932,1,589,589,589,1058,0.0
seq_6,seq_6,ColE1,99.83,100.0,2671,3259,+,8114,1,589,589,589,1058,0.0
seq_7,seq_7,ColE1,99.83,100.0,2671,3259,+,8143,1,589,589,589,1058,0.0
seq_8,seq_8,ColE1,99.83,100.0,2683,3271,+,8104,1,589,589,589,1058,0.0
seq_9,seq_9,ColE1,99.83,100.0,2671,3259,+,8102,1,589,589,589,1058,0.0
