sequence,qseqid,ori_type,pct_identity,pct_cov_subject,q_start,q_end,strand,qlen,sstart,send,slen,length,bitscore,evalue
seq_0,seq_0,ColE1,99.83,100.0,2092,2680,+,6555,1,589,589,589,1058,0.0
seq_1,seq_1,ColE1,99.83,100.0,2659,3247,+,7399,1,589,589,589,1058,0.0
seq_10,seq_10,ColE1,99.83,100.0,1817,2405,+,6506,1,589,589,589,1058,0.0
seq_11,seq_11,ColE1,99.83,100.0,1221,1809,-,3960,589,1,589,589,1058,0.0
seq_12,seq_12,ColE1,99.83,100.0,1753,2341,+,6523,1,589,589,589,1058,0.0
seq_13,seq_13,ColE1,99.66,100.0,2698,3286,-,7852,589,1,589,589,1054,0.0
seq_14,seq_14,ColE1,99.83,100.0,1878,2466,+,6647,1,589,589,589,1058,0.0
seq_15,seq_15,ColE1,99.83,100.0,10144,10732,+,13871,1,589,589,589,1058,0.0
seq_15,seq_15,ColE1,99.66,100.0,2698,3286,-,13871,589,1,589,589,1054,0.0
seq_16,seq_16,ColE1,99.83,100.0,2125,2713,+,6566,1,589,589,589,1058,0.0
seq_17,seq_17,ColE1,99.83,100.0,7471,8059,+,11890,1,589,589,589,1058,0.0
seq_17,seq_17,ColE1,99.66,100.0,2920,3508,-,11890,589,1,589,589,1054,0.0
seq_18,seq_18,ColE1,99.83,100.0,1756,2344,+,6491,1,589,589,589,1058,0.0
seq_19,seq_19,ColE1,99.83,100.0,2663,3251,+,7456,1,589,589,589,1058,0.0
seq_2,seq_2,ColE1,99.83,100.0,6628,7216,+,10994,1,589,589,589,1058,0.0
seq_20,seq_20,ColE1,99.83,100.0,1798,2386,+,6353,1,589,589,589,1058,0.0
seq_21,seq_21,ColE1,99.66,100.0,2920,3508,-,9753,589,1,589,589,1054,0.0
seq_22,seq_22,ColE1,99.83,100.0,2098,2686,+,6523,1,589,589,589,1058,0.0
seq_23,seq_23,ColE1,99.83,100.0,2419,3007,+,7225,1,589,589,589,1058,0.0
seq_24,seq_24,ColE1,99.83,100.0,2405,2993,+,6647,1,589,589,589,1058,0.0
seq_25,seq_25,ColE1,99.66,100.0,2698,3286,-,7680,589,1,589,589,1054,0.0
seq_26,seq_26,ColE1,99.83,100.0,1899,2487,+,6517,1,589,589,589,1058,0.0
seq_27,seq_27,ColE1,99.66,100.0,2951,3539,+,7936,1,589,589,589,1054,0.0
seq_27,seq_27,ColE1,99.491,100.0,1124,1712,-,7936,589,1,589,589,1049,0.0
seq_28,seq_28,ColE1,99.83,100.0,1978,2566,+,6533,1,589,589,589,1058,0.0
seq_29,seq_29,ColE1,99.83,100.0,2605,3193,+,7399,1,589,589,589,1058,0.0
seq_3,seq_3,ColE1,99.66,100.0,2920,3508,-,8560,589,1,589,589,1054,0.0
seq_31,seq_31,ColE1,99.491,100.0,1844,2432,-,7397,589,1,589,589,1049,0.0
seq_32,seq_32,ColE1,99.83,100.0,2132,2720,+,6545,1,589,589,589,1058,0.0
seq_35,seq_35,ColE1,99.83,100.0,3102,3690,+,7510,1,589,589,589,1058,0.0
seq_36,seq_36,ColE1,99.83,100.0,2555,3143,+,7240,1,589,589,589,1058,0.0
seq_37,seq_37,ColE1,99.66,100.0,2698,3286,-,9102,589,1,589,589,1054,0.0
seq_38,seq_38,ColE1,99.83,100.0,2040,2628,+,6560,1,589,589,589,1058,0.0
seq_39,seq_39,ColE1,99.66,100.0,2698,3286,-,8074,589,1,589,589,1054,0.0
seq_4,seq_4,ColE1,99.83,100.0,1776,2364,+,6528,1,589,589,589,1058,0.0
seq_40,seq_40,ColE1,99.83,100.0,1938,2526,+,6544,1,589,589,589,1058,0.0
seq_41,seq_41,ColE1,99.83,100.0,11136,11724,+,14823,1,589,589,589,1058,0.0
seq_41,seq_41,ColE1,99.66,100.0,2698,3286,-,14823,589,1,589,589,1054,0.0
seq_41,seq_41,Col(pHAD28)_1__KU674895,89.313,100.0,4549,4679,-,14823,131,1,131,131,174,1.82e-43
seq_42,seq_42,ColE1,99.83,100.0,1856,2444,+,6522,1,589,589,589,1058,0.0
seq_43,seq_43,ColE1,99.491,100.0,1844,2432,-,7352,589,1,589,589,1049,0.0
seq_44,seq_44,ColE1,99.83,100.0,1835,2423,+,6501,1,589,589,589,1058,0.0
seq_45,seq_45,ColE1,99.83,100.0,2644,3232,+,7427,1,589,589,589,1058,0.0
seq_46,seq_46,ColE1,99.83,100.0,1880,2468,+,6594,1,589,589,589,1058,0.0
seq_47,seq_47,ColE1,99.491,100.0,1124,1712,-,5214,589,1,589,589,1049,0.0
seq_48,seq_48,ColE1,99.83,100.0,2600,3188,+,6682,1,589,589,589,1058,0.0
seq_49,seq_49,ColE1,99.66,100.0,2698,3286,-,8577,589,1,589,589,1054,0.0
seq_5,seq_5,ColE1,99.66,100.0,2698,3286,-,8501,589,1,589,589,1054,0.0
seq_5,seq_5,Col(pHAD28)_1__KU674895,89.313,100.0,4549,4679,-,8501,131,1,131,131,174,1.0400000000000001e-43
