checkpoint_path,run_date,checkpoint_num,total_generated,qc_passed,pass_rate,unique_oris,unique_amrs,ori_types,amr_types,temperature,notes
/mnt/s3/phd-research-storage-1758274488/checkpoints/grpo-production/grpo-production-20251112_134036/checkpoint-2300,2025-11-12,2300,50,50,100.0,1,3,"ColE1","blaTEM-1;tet(C);aph(3')-Ia",0.95,"Very low ORI diversity - all ColE1"
/mnt/s3/phd-research-storage-1758274488/checkpoints/verl-grpo-sweeps/sweep-2frbbrx7-20251103_231513,2025-11-03,final,100,6,6.0,2,4,"Col(pHAD28)_1;ColE1","aadA1;aph(3')-IIa;aph(3')-Ia;blaTEM-116",1.15,"Good diversity but low pass rate"
/mnt/s3/phd-research-storage-1758274488/checkpoints/verl-grpo-sweeps/sweep-mzbil7k2-20251101_054804,2025-11-01,final,100,1,1.0,3,12,"Col(pHAD28)_1;Col440I_1;ColE1","aac(3)-Ia;aadA1;aph(3')-IIa;aph(3')-Ia;aph(4)-Ia;blaTEM;blaTEM-1;blaTEM-116;blaTEM-171;ble-Sh;catA1;tet(C)",1.15,"Very high diversity but 1% pass rate"
/mnt/s3/phd-research-storage-1758274488/checkpoints/verl-grpo-sweeps/sweep-npbv86ri-20251102_131625,2025-11-02,final,100,1,1.0,2,12,"Col(pHAD28)_1;ColE1","aadA1;aadA21;aph(3')-IIIa;aph(3')-IIa;aph(3')-Ia;aph(4)-Ia;blaTEM;blaTEM-1;blaTEM-116;blaTEM-181;ble-Sh;catA1",1.15,"High diversity but 1% pass rate"
/mnt/s3/phd-research-storage-1758274488/checkpoints/verl-grpo-sweeps/sweep-fjqm8q8v-20251101_120853,2025-11-01,final,100,1,1.0,2,11,"Col(pHAD28)_1;ColE1","aadA1;aph(3')-IIIa;aph(3')-IIa;aph(3')-Ia;aph(4)-Ia;blaTEM;blaTEM-1;blaTEM-116;blaTEM-181;ble-Sh;catA1",1.15,"High diversity but 1% pass rate"
/mnt/s3/phd-research-storage-1758274488/checkpoints/grpo-production/grpo-production-20251112_134036/checkpoint-2300,2025-11-12,2300,100,96,96.0,1,3,"ColE1","blaTEM-1;tet(C);aph(3')-Ia",1.15,"Higher temp - still only ColE1"
/mnt/s3/phd-research-storage-1758274488/checkpoints/verl-grpo-sweeps/sweep-mzbil7k2-20251101_054804,2025-11-01,final,100,2,2.0,3,12,"Col(pHAD28)_1;Col440I_1;ColE1","aac(3)-Ia;aadA1;aph(3')-IIa;aph(3')-Ia;aph(4)-Ia;blaTEM;blaTEM-1;blaTEM-116;blaTEM-171;ble-Sh;catA1;tet(C)",0.95,"Lower temp - 2% pass rate, still diverse"
/mnt/s3/phd-research-storage-1758274488/checkpoints/grpo-production/grpo-production-20251110_132247,2025-01-26,final,100,63,63.0,2,6,"Col(pHAD28)_1;ColE1","aph(3')-Ia;aph(4)-Ia;blaTEM-1;blaTEM-116;catA1;tet(C)",0.95,"Good balance - 63% pass with 2 ORIs"
/mnt/s3/phd-research-storage-1758274488/checkpoints/grpo-production/grpo-production-20251110_132247,2025-01-26,final,100,37,37.0,1,4,"ColE1","aph(3')-Ia;aph(4)-Ia;blaTEM-1;blaTEM-116",0.8,"Low temp - collapsed to ColE1 only"
/mnt/s3/phd-research-storage-1758274488/checkpoints/grpo-production/grpo-production-20251110_132247,2025-01-26,final,100,61,61.0,2,7,"Col(pHAD28)_1;ColE1","aadA1;aph(3')-Ia;aph(4)-Ia;blaTEM-1;blaTEM-116;catA1;tet(C)",1.0,"Good balance - 2 ORIs maintained"
/mnt/s3/phd-research-storage-1758274488/checkpoints/grpo-production/grpo-production-20251110_132247,2025-01-26,final,100,76,76.0,2,6,"Col(pHAD28)_1;ColE1","aph(3')-Ia;aph(4)-Ia;blaTEM-1;blaTEM-116;catA1;tet(C)",1.15,"Good - 76% pass with 2 ORIs"
/mnt/s3/phd-research-storage-1758274488/checkpoints/grpo-production/grpo-production-20251110_132247,2025-01-26,final,100,85,85.0,2,5,"Col(pHAD28)_1;ColE1","aph(3')-Ia;aph(4)-Ia;blaTEM-1;blaTEM-116;catA1",1.2,"Very good - 85% pass with 2 ORIs"
/mnt/s3/phd-research-storage-1758274488/checkpoints/grpo-production/grpo-production-20251110_132247,2025-01-26,final,100,90,90.0,3,4,"Col(pHAD28)_1;Col440I_1;ColE1","aph(3')-Ia;aph(4)-Ia;blaTEM-1;blaTEM-116",1.3,"BEST - 90% pass with 3 ORIs!"
