Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0000	1803	2615	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.00	100.00	271	WP_000018329.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0000	7172	7984	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.00	100.00	271	WP_000018329.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0004	2025	2882	-	blaTEM-116	broad-spectrum class A beta-lactamase TEM-116	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027050.1	broad-spectrum class A beta-lactamase TEM-116	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0004	4884	5741	-	blaTEM-116	broad-spectrum class A beta-lactamase TEM-116	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027050.1	broad-spectrum class A beta-lactamase TEM-116	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0004	7734	8390	-	catA1	type A-1 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	219	219	100.00	100.00	219	WP_000412211.1	type A-1 chloramphenicol O-acetyltransferase	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0004	10389	11246	-	blaTEM-116	broad-spectrum class A beta-lactamase TEM-116	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027050.1	broad-spectrum class A beta-lactamase TEM-116	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0004	13249	14040	-	aph(3')-IIa	aminoglycoside O-phosphotransferase APH(3')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	264	264	100.00	100.00	264	WP_000572405.1	aminoglycoside O-phosphotransferase APH(3')-IIa	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0005	1888	2745	-	blaTEM-116	broad-spectrum class A beta-lactamase TEM-116	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027050.1	broad-spectrum class A beta-lactamase TEM-116	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0005	5597	6409	-	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.00	100.00	271	WP_000018329.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0006	2043	2900	-	blaTEM-116	broad-spectrum class A beta-lactamase TEM-116	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027050.1	broad-spectrum class A beta-lactamase TEM-116	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0008	2025	2882	-	blaTEM-116	broad-spectrum class A beta-lactamase TEM-116	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027050.1	broad-spectrum class A beta-lactamase TEM-116	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0008	4885	5676	-	aph(3')-IIa	aminoglycoside O-phosphotransferase APH(3')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	264	264	100.00	100.00	264	WP_000572405.1	aminoglycoside O-phosphotransferase APH(3')-IIa	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0014	2192	3049	+	blaTEM-116	broad-spectrum class A beta-lactamase TEM-116	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027050.1	broad-spectrum class A beta-lactamase TEM-116	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0014	6733	7590	+	blaTEM-116	broad-spectrum class A beta-lactamase TEM-116	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027050.1	broad-spectrum class A beta-lactamase TEM-116	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0015	2709	3365	-	catA1	type A-1 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	219	219	100.00	100.00	219	WP_000412211.1	type A-1 chloramphenicol O-acetyltransferase	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0015	5474	5923	-	catA1	type A-1 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	PARTIALX	150	219	68.49	100.00	150	WP_000412211.1	type A-1 chloramphenicol O-acetyltransferase	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0015	7910	8767	-	blaTEM-116	broad-spectrum class A beta-lactamase TEM-116	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027050.1	broad-spectrum class A beta-lactamase TEM-116	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0015	10770	11561	-	aph(3')-IIa	aminoglycoside O-phosphotransferase APH(3')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	264	264	100.00	100.00	264	WP_000572405.1	aminoglycoside O-phosphotransferase APH(3')-IIa	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0019	2075	2527	-	catA1	type A-1 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	PARTIALX	151	219	68.95	99.34	151	WP_000412211.1	type A-1 chloramphenicol O-acetyltransferase	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0020	2709	3365	-	catA1	type A-1 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	219	219	100.00	100.00	219	WP_000412211.1	type A-1 chloramphenicol O-acetyltransferase	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0020	3913	4569	-	catA1	type A-1 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	BLASTX	219	219	100.00	99.54	219	WP_000412211.1	type A-1 chloramphenicol O-acetyltransferase	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0022	2061	2918	-	blaTEM-116	broad-spectrum class A beta-lactamase TEM-116	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027050.1	broad-spectrum class A beta-lactamase TEM-116	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0022	3746	4603	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0022	9388	10194	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	BLASTX	269	271	100.00	99.26	271	WP_000018329.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0023	2707	3564	-	blaTEM-116	broad-spectrum class A beta-lactamase TEM-116	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027050.1	broad-spectrum class A beta-lactamase TEM-116	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0023	5566	6423	-	blaTEM-116	broad-spectrum class A beta-lactamase TEM-116	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027050.1	broad-spectrum class A beta-lactamase TEM-116	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0023	8416	9072	-	catA1	type A-1 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	219	219	100.00	100.00	219	WP_000412211.1	type A-1 chloramphenicol O-acetyltransferase	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0024	1910	2767	-	blaTEM-116	broad-spectrum class A beta-lactamase TEM-116	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027050.1	broad-spectrum class A beta-lactamase TEM-116	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0024	5093	5950	-	blaTEM-116	broad-spectrum class A beta-lactamase TEM-116	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027050.1	broad-spectrum class A beta-lactamase TEM-116	NA	NA
UCL_CSSB_PlasmidGPT_GFP_cassette	NA	UCL_CSSB_PlasmidGPT_GFP_cassette_0026	2072	2929	-	blaTEM-116	broad-spectrum class A beta-lactamase TEM-116	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027050.1	broad-spectrum class A beta-lactamase TEM-116	NA	NA
