plasmid_id,length,mfe_total,mfe_density
UCL_CSSB_PlasmidGPT_ATG_0000,8,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0001,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0002,6,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0003,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0004,8,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0005,8,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0006,8,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0007,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0008,8,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0009,8,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0010,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0011,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0012,8,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0013,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0014,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0015,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0016,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0017,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0018,18,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0019,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0020,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0021,12,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0022,8,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0023,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0024,6,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0025,8,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0026,6,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0027,8,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0028,8,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0029,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0030,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0031,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0032,193,-54.20000076293945,-0.2808290194970956
UCL_CSSB_PlasmidGPT_ATG_0033,23,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0034,8,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0035,8,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0036,6,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0037,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0038,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0039,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0040,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0041,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0042,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0043,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0044,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0045,8,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0046,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0047,7,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0048,8,0.0,0.0
UCL_CSSB_PlasmidGPT_ATG_0049,7,0.0,0.0
