Plasmid_ID,reason failed
McClain_PlasmidGPT_RL_ATG_0000,"ORI strict count 0 < required 1 (ID≥99.0, Cov≥99.0)"
McClain_PlasmidGPT_RL_ATG_0001,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_ATG_0003,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_ATG_0005,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_ATG_0006,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_ATG_0009,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_ATG_0010,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_ATG_0013,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_ATG_0018,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_ATG_0020,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_ATG_0029,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_ATG_0031,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_ATG_0033,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_ATG_0035,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_ATG_0037,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_ATG_0038,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_ATG_0040,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_ATG_0043,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_ATG_0045,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_ATG_0047,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_ATG_0048,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0000,"ORI strict count 0 < required 1 (ID≥99.0, Cov≥99.0)"
McClain_PlasmidGPT_RL_GFP_cassette_0001,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0002,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0003,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0004,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0005,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0006,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0007,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0008,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0009,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0010,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0011,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0012,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0013,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0014,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0015,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0016,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0017,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0018,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0019,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0020,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0021,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0022,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0023,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0024,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0025,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0026,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0027,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0028,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0029,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0030,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0031,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0032,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0033,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0034,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0035,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0036,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0037,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0038,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0039,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0040,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0041,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0042,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0043,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0044,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0045,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0046,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0047,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0048,"ORI low-threshold count 0 outside [1,1]"
McClain_PlasmidGPT_RL_GFP_cassette_0049,"ORI low-threshold count 0 outside [1,1]"
UCL_CSSB_PlasmidGPT_GFP_cassette_0000,"ARG low-threshold count 2 outside [1,1]"
UCL_CSSB_PlasmidGPT_GFP_cassette_0004,"ORI low-threshold count 0 outside [1,1]; ARG low-threshold count 5 outside [1,1]"
UCL_CSSB_PlasmidGPT_GFP_cassette_0005,"ORI low-threshold count 0 outside [1,1]; ARG low-threshold count 2 outside [1,1]"
UCL_CSSB_PlasmidGPT_GFP_cassette_0006,"ORI low-threshold count 0 outside [1,1]"
