Plasmid_ID,reason failed
seq_11,repeat ≥ 50
seq_13,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_15,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_17,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_2,repeat ≥ 50
seq_20,repeat ≥ 50
seq_21,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_25,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_27,"ORI low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_3,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_30,No ORI; No ARG
seq_33,No ORI; No ARG; repeat ≥ 50
seq_34,No ORI; No ARG
seq_35,repeat ≥ 50
seq_37,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_39,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_41,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_47,repeat ≥ 50
seq_49,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_5,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_51,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_52,No ORI; No ARG
seq_59,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_63,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_65,"ARG low-threshold count 2 outside [1,1]"
seq_67,"ARG low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_69,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_71,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_75,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_77,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_79,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_80,repeat ≥ 50
seq_82,No ORI; No ARG
seq_89,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_9,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_91,"ARG low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_93,"ORI low-threshold count 0 outside [1,1]; repeat ≥ 50"
