plasmid_id,length,gc_content,longest_orf_any_frame,longest_orf_atg_fwd,longest_orf_atg_rev,longest_orf_atg_both,num_orfs_100aa
UCL_CSSB_PlasmidGPT_GFP_cassette_0000,9390,0.4792332268370607,371,319,122,319,12
UCL_CSSB_PlasmidGPT_GFP_cassette_0001,2402,0.5474604496253123,239,239,202,239,7
UCL_CSSB_PlasmidGPT_GFP_cassette_0002,3129,0.3870246085011186,245,239,77,239,4
UCL_CSSB_PlasmidGPT_GFP_cassette_0003,2402,0.5474604496253123,239,239,202,239,6
UCL_CSSB_PlasmidGPT_GFP_cassette_0004,16619,0.5038209278536615,239,239,319,319,24
UCL_CSSB_PlasmidGPT_GFP_cassette_0005,7108,0.4763646595385481,371,360,286,360,9
UCL_CSSB_PlasmidGPT_GFP_cassette_0006,5472,0.4373172514619883,264,239,286,286,5
UCL_CSSB_PlasmidGPT_GFP_cassette_0007,2402,0.5474604496253123,239,239,202,239,7
UCL_CSSB_PlasmidGPT_GFP_cassette_0008,7387,0.49519426018681467,239,239,286,286,7
UCL_CSSB_PlasmidGPT_GFP_cassette_0009,2402,0.5474604496253123,239,239,202,239,6
UCL_CSSB_PlasmidGPT_GFP_cassette_0010,2402,0.5474604496253123,239,239,202,239,6
UCL_CSSB_PlasmidGPT_GFP_cassette_0011,5133,0.47301772842392364,254,239,251,251,5
UCL_CSSB_PlasmidGPT_GFP_cassette_0012,2402,0.5474604496253123,239,239,202,239,7
UCL_CSSB_PlasmidGPT_GFP_cassette_0013,2402,0.5474604496253123,239,239,202,239,6
UCL_CSSB_PlasmidGPT_GFP_cassette_0014,9930,0.43746223564954684,290,286,124,286,9
UCL_CSSB_PlasmidGPT_GFP_cassette_0015,13912,0.5017970097757332,265,239,319,319,19
UCL_CSSB_PlasmidGPT_GFP_cassette_0016,2402,0.5474604496253123,239,239,202,239,7
UCL_CSSB_PlasmidGPT_GFP_cassette_0017,2402,0.5474604496253123,239,239,202,239,7
UCL_CSSB_PlasmidGPT_GFP_cassette_0018,2094,0.3061127029608405,239,239,63,239,1
UCL_CSSB_PlasmidGPT_GFP_cassette_0019,6136,0.4551825293350717,295,255,174,255,7
UCL_CSSB_PlasmidGPT_GFP_cassette_0020,5409,0.4636716583471991,265,239,219,239,4
UCL_CSSB_PlasmidGPT_GFP_cassette_0021,2402,0.5478767693588676,254,239,202,239,6
UCL_CSSB_PlasmidGPT_GFP_cassette_0022,11983,0.4904447967954602,516,505,286,505,15
UCL_CSSB_PlasmidGPT_GFP_cassette_0023,11480,0.5006968641114983,384,373,286,373,16
UCL_CSSB_PlasmidGPT_GFP_cassette_0024,7342,0.45954780713701987,239,239,286,286,7
UCL_CSSB_PlasmidGPT_GFP_cassette_0025,2402,0.5474604496253123,239,239,202,239,6
UCL_CSSB_PlasmidGPT_GFP_cassette_0026,12037,0.48857688792888593,239,239,286,286,15
UCL_CSSB_PlasmidGPT_GFP_cassette_0027,2409,0.5483603154836032,239,239,202,239,6
UCL_CSSB_PlasmidGPT_GFP_cassette_0028,2409,0.5483603154836032,239,239,202,239,6
UCL_CSSB_PlasmidGPT_GFP_cassette_0029,2402,0.5474604496253123,239,239,202,239,7
UCL_CSSB_PlasmidGPT_GFP_cassette_0030,2402,0.5474604496253123,239,239,202,239,6
UCL_CSSB_PlasmidGPT_GFP_cassette_0031,3035,0.4988467874794069,267,263,127,263,4
UCL_CSSB_PlasmidGPT_GFP_cassette_0032,2402,0.5474604496253123,239,239,202,239,7
UCL_CSSB_PlasmidGPT_GFP_cassette_0033,6751,0.45830247370759886,239,239,65,239,1
UCL_CSSB_PlasmidGPT_GFP_cassette_0034,2402,0.5474604496253123,239,239,202,239,7
UCL_CSSB_PlasmidGPT_GFP_cassette_0035,9723,0.5072508485035483,239,239,286,286,13
UCL_CSSB_PlasmidGPT_GFP_cassette_0036,7078,0.4474427804464538,290,286,286,286,8
UCL_CSSB_PlasmidGPT_GFP_cassette_0037,2174,0.24057037718491261,239,239,36,239,1
UCL_CSSB_PlasmidGPT_GFP_cassette_0038,2402,0.5474604496253123,239,239,202,239,7
UCL_CSSB_PlasmidGPT_GFP_cassette_0039,2402,0.5474604496253123,239,239,202,239,6
UCL_CSSB_PlasmidGPT_GFP_cassette_0040,3563,0.5304518664047151,239,239,91,239,6
UCL_CSSB_PlasmidGPT_GFP_cassette_0041,4371,0.45710363761153056,248,242,286,286,4
UCL_CSSB_PlasmidGPT_GFP_cassette_0042,2402,0.5474604496253123,239,239,202,239,6
UCL_CSSB_PlasmidGPT_GFP_cassette_0043,2402,0.5474604496253123,239,239,202,239,6
UCL_CSSB_PlasmidGPT_GFP_cassette_0044,2314,0.38461538461538464,239,239,40,239,1
UCL_CSSB_PlasmidGPT_GFP_cassette_0045,2402,0.5474604496253123,239,239,202,239,7
UCL_CSSB_PlasmidGPT_GFP_cassette_0046,2402,0.5474604496253123,239,239,202,239,7
UCL_CSSB_PlasmidGPT_GFP_cassette_0047,10672,0.46842203898050977,244,239,271,271,11
UCL_CSSB_PlasmidGPT_GFP_cassette_0048,8291,0.5060909419852853,281,239,225,239,11
UCL_CSSB_PlasmidGPT_GFP_cassette_0049,2402,0.5478767693588676,254,239,202,239,6
