Plasmid_ID,Ori's present,Identity of each ori,Cov of each ori,ARG's present,Identity of ARGs,Cov of ARGs
seq_14,ColE1,99.83,100.00,blaTEM-1,100.00,100.00
seq_15,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_16,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_34,ColE1,99.83,100.00,blaTEM-1,100.00,100.00
seq_43,ColE1,99.83,100.00,blaTEM-1,100.00,100.00
seq_46,ColE1,99.83,100.00,blaTEM-1,100.00,100.00
seq_47,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_49,ColE1,99.83,100.00,blaTEM-1,100.00,100.00
seq_50,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_53,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_56,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_72,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_8,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_82,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_97,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_98,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
