sequence,symbol,name,start,end,strand,pct_identity,pct_cov
seq_0,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1158,1970,-,100.0,100.0
seq_1,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1725,2537,-,100.0,100.0
seq_10,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,883,1695,-,100.0,100.0
seq_11,catA1,type A-1 chloramphenicol O-acetyltransferase,2015,2671,-,100.0,100.0
seq_12,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,819,1631,-,100.0,100.0
seq_13,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1305,2111,+,100.0,100.0
seq_13,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3460,4317,-,100.0,100.0
seq_14,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,944,1756,-,100.0,100.0
seq_15,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1305,2111,+,100.0,100.0
seq_15,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3460,4317,-,100.0,100.0
seq_15,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,9210,10022,-,100.0,100.0
seq_16,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1191,2003,-,100.0,100.0
seq_17,aph(4)-Ia,aminoglycoside O-phosphotransferase APH(4)-Ia,1311,2330,+,100.0,99.71
seq_17,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3682,4539,-,100.0,100.0
seq_17,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,6537,7349,-,100.0,100.0
seq_18,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,822,1634,-,100.0,100.0
seq_19,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1729,2541,-,100.0,100.0
seq_2,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,5694,6506,-,100.0,100.0
seq_20,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,864,1676,-,100.0,100.0
seq_21,aph(4)-Ia,aminoglycoside O-phosphotransferase APH(4)-Ia,1311,2330,+,100.0,99.71
seq_21,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3682,4539,-,100.0,100.0
seq_22,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1164,1976,-,100.0,100.0
seq_23,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1485,2297,-,100.0,100.0
seq_24,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1471,2283,-,100.0,100.0
seq_25,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1305,2111,+,100.0,100.0
seq_25,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3460,4317,-,100.0,100.0
seq_26,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,965,1777,-,100.0,100.0
seq_27,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1886,2743,-,100.0,100.0
seq_28,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1044,1856,-,100.0,100.0
seq_29,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1671,2483,-,100.0,100.0
seq_3,aph(4)-Ia,aminoglycoside O-phosphotransferase APH(4)-Ia,1311,2330,+,100.0,99.71
seq_3,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3682,4539,-,100.0,100.0
seq_31,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,2606,3463,-,100.0,100.0
seq_32,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1198,2010,-,100.0,100.0
seq_35,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,2168,2980,-,100.0,100.0
seq_36,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1621,2433,-,100.0,100.0
seq_37,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1305,2111,+,100.0,100.0
seq_37,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3460,4317,-,100.0,100.0
seq_38,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1106,1918,-,100.0,100.0
seq_39,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1305,2111,+,100.0,100.0
seq_39,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3460,4317,-,100.0,100.0
seq_4,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,842,1654,-,100.0,100.0
seq_40,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1004,1816,-,100.0,100.0
seq_41,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1305,2111,+,100.0,100.0
seq_41,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3460,4317,-,100.0,100.0
seq_41,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,10202,11014,-,100.0,100.0
seq_42,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,922,1734,-,100.0,100.0
seq_43,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,2606,3463,-,100.0,100.0
