Plasmid_ID,reason failed
seq_0,"ARG low-threshold count 0 outside [1,1]"
seq_1,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_10,repeat ≥ 50
seq_11,"ORI low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_12,"ORI strict count 0 < required 1 (ID≥99.0, Cov≥99.0); ARG strict count 0 < required 1 (ID≥100.0, Cov≥100.0); repeat ≥ 50"
seq_13,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_14,No ORI; No ARG
seq_15,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_16,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_17,"ORI low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_18,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_19,"ORI low-threshold count 0 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_2,No ORI; No ARG
seq_20,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_21,repeat ≥ 50
seq_22,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_23,"ORI strict count 0 < required 1 (ID≥99.0, Cov≥99.0); ARG strict count 0 < required 1 (ID≥100.0, Cov≥100.0)"
seq_24,"ORI low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_25,"ORI low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_26,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_27,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_28,"ARG low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_29,"ORI strict count 0 < required 1 (ID≥99.0, Cov≥99.0)"
seq_3,"ORI low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_30,"ORI low-threshold count 0 outside [1,1]; ARG low-threshold count 5 outside [1,1]; repeat ≥ 50"
seq_31,"ORI low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_33,"ORI low-threshold count 0 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_34,"ORI low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_35,"ARG strict count 0 < required 1 (ID≥100.0, Cov≥100.0); repeat ≥ 50"
seq_36,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_37,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_38,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_39,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_4,repeat ≥ 50
seq_40,"ARG low-threshold count 5 outside [1,1]; repeat ≥ 50"
seq_41,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_42,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_43,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_44,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_45,"ARG low-threshold count 0 outside [1,1]"
seq_46,"ORI low-threshold count 4 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_47,"ORI low-threshold count 0 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_48,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_49,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_5,"ORI low-threshold count 5 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_50,"ORI low-threshold count 0 outside [1,1]"
seq_51,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_52,"ARG strict count 0 < required 1 (ID≥100.0, Cov≥100.0); repeat ≥ 50"
seq_53,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_54,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_55,"ORI low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_56,"ORI strict count 0 < required 1 (ID≥99.0, Cov≥99.0); repeat ≥ 50"
seq_57,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_58,"ORI low-threshold count 4 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_59,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_6,"ORI low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_60,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_61,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_62,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_63,"ARG low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_64,"ORI low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_65,"ORI low-threshold count 2 outside [1,1]; repeat ≥ 50"
