Plasmid_ID,Ori's present,Identity of each ori,Cov of each ori,ARG's present,Identity of ARGs,Cov of ARGs
seq_0,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_1,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_10,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_11,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_12,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_13,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_14,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_15,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_16,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_17,ColE1,99.66,100.00,"aadA1,blaTEM-116","100.00,100.00","95.82,100.00"
seq_18,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_19,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_2,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_20,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_21,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_22,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_23,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_24,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_25,ColE1,99.66,100.00,"aadA1,blaTEM-116","100.00,100.00","95.82,100.00"
seq_26,ColE1,99.66,100.00,"aadA1,blaTEM-116","99.21,100.00","96.58,100.00"
seq_27,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_28,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_29,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_3,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_30,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_31,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_32,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_33,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_34,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_35,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_36,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_37,ColE1,99.66,100.00,"aadA1,blaTEM-116","96.96,100.00","100.00,100.00"
seq_38,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_39,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_4,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_40,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_41,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_42,ColE1,99.66,100.00,"aadA1,blaTEM-116","100.00,100.00","95.82,100.00"
seq_43,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_46,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_48,ColE1,99.66,100.00,"aadA1,blaTEM-116","100.00,100.00","95.82,100.00"
seq_49,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_5,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_6,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_69,ColRNAI_1__DQ298019,97.71,100.77,aadA1,100.00,100.00
seq_7,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_9,ColE1,99.66,100.00,"aadA1,blaTEM-116","99.22,100.00","96.96,100.00"
