sequence,symbol,name,start,end,strand,pct_identity,pct_cov
seq_0,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2563,3420,+,100.0,100.0
seq_1,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4040,4897,+,100.0,100.0
seq_10,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3209,4066,+,100.0,100.0
seq_11,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2711,3568,+,100.0,100.0
seq_13,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,7314,8171,+,100.0,100.0
seq_14,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3182,4039,+,100.0,100.0
seq_15,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2761,3618,+,100.0,100.0
seq_16,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2459,3316,+,100.0,100.0
seq_17,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3109,3966,+,100.0,100.0
seq_18,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2969,3826,+,100.0,100.0
seq_19,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3575,4432,+,100.0,100.0
seq_2,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,1834,2622,+,100.0,100.0
seq_20,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,2198,3010,-,100.0,100.0
seq_20,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4559,5416,+,100.0,100.0
seq_21,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2269,3126,+,100.0,100.0
seq_22,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1767,2624,+,100.0,100.0
seq_23,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3441,4298,+,100.0,100.0
seq_24,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2974,3831,+,100.0,100.0
seq_25,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3216,4073,+,100.0,100.0
seq_26,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2835,3692,+,100.0,100.0
