VectorID,Name,Vector Type,Source,Sequence Available,URL,Length,MFE,MFE_per_nt,Status
1447,EMSV,Mammalian Expression,,No,https://www.addgene.org/vector-database/1447/,9450,-3506.5,-0.37105820105820103,ok
1454,GFP-RV-DV,Mammalian Expression,,No,https://www.addgene.org/vector-database/1454/,9423,-3430.2,-0.36402419611588666,ok
8116,gWIZ,Mammalian Expression,Genlantis,Yes,https://www.addgene.org/vector-database/8116/,,,,
1462,JP1520,Mammalian Expression,Harvard Institute of Proteomics,Yes,https://www.addgene.org/vector-database/1462/,12144,-3993.27,-0.328826581027668,ok
1605,MU6PRO,Mammalian Expression,David Turner lab,Yes,https://www.addgene.org/vector-database/1605/,3436,-1168.1,-0.3399592549476135,ok
1611,p1318,Mammalian Expression,,No,https://www.addgene.org/vector-database/1611/,8042,-3434.1,-0.42702064163143494,ok
1617,p2xFLAG-CMV2,Mammalian Expression,from Marius Sudol lab,No,https://www.addgene.org/vector-database/1617/,6141,-2229.4,-0.36303533626445206,ok
1619,p3xFLAG-CMV-10,Mammalian Expression,Sigma,Yes,https://www.addgene.org/vector-database/1619/,9274,-3230.8,-0.3483717921069657,ok
1620,p3xFLAG-CMV-13,Mammalian Expression,Sigma,Yes,https://www.addgene.org/vector-database/1620/,8824,-3145.2,-0.35643699002719853,ok
1621,p3xFLAG-CMV-14,Mammalian Expression,Sigma,Yes,https://www.addgene.org/vector-database/1621/,8571,-2983.2,-0.3480574028701435,ok
1622,p3xFlag-CMV-7.1,Mammalian Expression,Sigma,Yes,https://www.addgene.org/vector-database/1622/,6425,-2232.1,-0.34740856031128403,ok
1623,p3xFlag-CMV7,Mammalian Expression,Sigma,Yes,https://www.addgene.org/vector-database/1623/,7057,-2757.4,-0.39073260592319686,ok
1624,p3xFLAG-CMV8,Mammalian Expression,Sigma,Yes,https://www.addgene.org/vector-database/1624/,,,,
6164,p3xFLAG-CMV™-7,Mammalian Expression,Sigma-Aldrich,Yes,https://www.addgene.org/vector-database/6164/,7057,-2757.4,-0.39073260592319686,ok
6165,p3xFLAG-CMV™-9,Mammalian Expression,Sigma-Aldrich,Yes,https://www.addgene.org/vector-database/6165/,,,,
1625,p3xFLAG-Myc-CMV-23,Mammalian Expression,Sigma,Yes,https://www.addgene.org/vector-database/1625/,,,,
1626,p3xFLAG-Myc-CMV-24,Mammalian Expression,Sigma,Yes,https://www.addgene.org/vector-database/1626/,8736,-3003.9,-0.343853021978022,ok
1627,p3xFLAG-Myc-CMV-25,Mammalian Expression,Sigma,Yes,https://www.addgene.org/vector-database/1627/,,,,
1628,p3xFLAG-Myc-CMV-26,Mammalian Expression,Sigma,Yes,https://www.addgene.org/vector-database/1628/,,,,
1661,pAcGFP1-1,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/1661/,5137,-1763.0,-0.34319641814288493,ok
1662,pAcGFP1-Actin,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/1662/,,,,
1663,pAcGFP1-C1,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/1663/,8835,-3618.3,-0.40954159592529715,ok
1666,pAcGFP1-N1,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/1666/,5395,-1975.2,-0.3661167747914736,ok
1671,pACT,Mammalian Expression,Promega,Yes,https://www.addgene.org/vector-database/1671/,17680,-5418.5,-0.3064762443438914,ok
1672,pACT-MyoD,Mammalian Expression,Promega,No,https://www.addgene.org/vector-database/1672/,,,,
1683,pAd/CMV/V5 DEST Gateway (ViraPower),Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/1683/,,,,
1689,pAdeno-X,Mammalian Expression,Clontech,No,https://www.addgene.org/vector-database/1689/,35000,,,fail
1691,pAdTrack-CMV,"Mammalian Expression, Adenoviral",ATCC,Yes,https://www.addgene.org/vector-database/1691/,9237,-3394.1,-0.36744614052181446,ok
1732,pAmCyan1-C1,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/1732/,8200,-3244.4,-0.39565853658536587,ok
1733,pAmCyan1-N1,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/1733/,,,,
1776,pAsRed2-C1,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/1776/,,,,
1777,pAsRed2-N1,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/1777/,,,,
7085,pB,"Retroviral, Mammalian Expression","Bogan Lab, Yale",Yes,https://www.addgene.org/vector-database/7085/,,,,
1814,pBABE puroL,"Mammalian Expression, Retroviral",,No,https://www.addgene.org/vector-database/1814/,6357,-2165.4,-0.34063237376120814,ok
1815,pBABE puroL Flag HA,"Mammalian Expression, Retroviral",,No,https://www.addgene.org/vector-database/1815/,,,,
1816,pBABE-MN-IRES-E-GFP,"Mammalian Expression, Retroviral",Nolan lab,Yes,https://www.addgene.org/vector-database/1816/,7086,-2513.1,-0.3546570702794242,ok
1817,pBabe-X,"Mammalian Expression, Retroviral",,No,https://www.addgene.org/vector-database/1817/,,,,
1885,pbgal-Basic,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/1885/,,,,
7868,pBGSA,Mammalian Expression,"Bruce Granger, PMID 8867788",No,https://www.addgene.org/vector-database/7868/,,,,
1907,pBI,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/1907/,9672,-5084.9,-0.5257340777502068,ok
6166,pBI-CMV1,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/6166/,,,,
6167,pBI-CMV2,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/6167/,,,,
6168,pBI-CMV3,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/6168/,,,,
6169,pBI-CMV4,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/6169/,,,,
6291,pBI-CMV5,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/6291/,,,,
1908,pBI-EGFP,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/1908/,7047,-2601.5,-0.36916418334042855,ok
1909,pBI-G,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/1909/,4341,-1859.2,-0.42828841280810875,ok
7086,pBICD2,"Mammalian Expression, Retroviral",,Yes,https://www.addgene.org/vector-database/7086/,,,,
1919,pBIND,Mammalian Expression,Promega,Yes,https://www.addgene.org/vector-database/1919/,,,,
1920,pBIND-Id Control,Mammalian Expression,Promega,No,https://www.addgene.org/vector-database/1920/,,,,
1922,pBJ,Mammalian Expression,,Yes,https://www.addgene.org/vector-database/1922/,4603,-1795.7,-0.39011514229850097,ok
1923,pBJ1-Neo,Mammalian Expression,,No,https://www.addgene.org/vector-database/1923/,7135,-2743.1,-0.38445690259285215,ok
1924,pBJ5,Mammalian Expression,,No,https://www.addgene.org/vector-database/1924/,3981,-1348.0,-0.33860838985179603,ok
1925,pBJ5-stop,Mammalian Expression,,No,https://www.addgene.org/vector-database/1925/,5267,-1776.8,-0.3373457376115436,ok
1926,pBK-CMV,Mammalian Expression,Stratagene,Yes,https://www.addgene.org/vector-database/1926/,7626,-2550.3,-0.33442171518489383,ok
1936,pBlue TOPO,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/1936/,,,,
1938,pBlueBac His2,Mammalian Expression,Invitrogen,No,https://www.addgene.org/vector-database/1938/,,,,
2009,pBROAD3-mcs,Mammalian Expression,Invivogen,Yes,https://www.addgene.org/vector-database/2009/,,,,
2034,pBudCE4.1,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2034/,,,,
738,pBV-Luc,"Mammalian Expression, Luciferase",Bert Vogelstein Lab,Yes,https://www.addgene.org/vector-database/738/,5339,-1806.5,-0.33835924330398953,ok
2042,pCAGGS,Mammalian Expression,BCCM,Yes,https://www.addgene.org/vector-database/2042/,5832,-2225.6,-0.38161865569272974,ok
2043,pCAGGS-Svoboda,Mammalian Expression,Svoboda lab,Yes,https://www.addgene.org/vector-database/2043/,,,,
2057,pCAT3-Basic,Mammalian Expression,Promega,Yes,https://www.addgene.org/vector-database/2057/,,,,
2058,pCAT3-Control,Mammalian Expression,Promega,Yes,https://www.addgene.org/vector-database/2058/,,,,
2059,pCAT3-Enhancer,Mammalian Expression,Promega,Yes,https://www.addgene.org/vector-database/2059/,,,,
2060,pCAT3-Promoter,Mammalian Expression,Promega,Yes,https://www.addgene.org/vector-database/2060/,,,,
2062,pCAX,Mammalian Expression,,Yes,https://www.addgene.org/vector-database/2062/,6742,-2641.8,-0.3918421833283892,ok
2071,pCB6 (Mammalian Expression),Mammalian Expression,,Yes,https://www.addgene.org/vector-database/2071/,,,,
2079,pCDF1-MCS2-EF1-Puro,Mammalian Expression,System Biosciences,Yes,https://www.addgene.org/vector-database/2079/,8608,-3158.2,-0.3668912639405204,ok
2082,pCDH-CMV-MCS-EF1-Puro,"Mammalian Expression, RNAi",System Biosciences,Yes,https://www.addgene.org/vector-database/2082/,8595,-3116.5,-0.36259453170447936,ok
2083,pCDH1-MCS2-EF1-copGFP,Mammalian Expression,System Biosciences,Yes,https://www.addgene.org/vector-database/2083/,,,,
2084,pcDL-SRa296,Mammalian Expression,,No,https://www.addgene.org/vector-database/2084/,,,,
2085,pCDM8,Mammalian Expression,BCCM/LMBP,Yes,https://www.addgene.org/vector-database/2085/,5831,-2153.7,-0.36935345566798145,ok
2086,pcDNA DEST40,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2086/,7130,-2677.2,-0.3754838709677419,ok
2087,pcDNA-DEST47,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2087/,8667,-3207.7,-0.3701049959616938,ok
2088,pcDNA-DEST53,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2088/,7720,-2881.3,-0.37322538860103627,ok
2089,pcDNA1,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2089/,3649,-1335.1,-0.3658810633050151,ok
2092,pcDNA3,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2092/,5933,-2179.7,-0.3673858081914714,ok
2093,pcDNA3.1(+),Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2093/,5897,-2143.3,-0.36345599457351196,ok
2094,pcDNA3.1(+)/myc-His A,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2094/,6409,-2426.4,-0.3785926041504135,ok
2095,pcDNA3.1(+)/myc-His B,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2095/,8539,-2988.4,-0.3499707225670453,ok
2096,pcDNA3.1(+)/myc-His C,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2096/,,,,
2097,pcDNA3.1(-),Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2097/,8373,-2957.7,-0.35324256538874954,ok
2098,pcDNA3.1/CT-GFP Fusion,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2098/,,,,
2099,pcDNA3.1/CT-GFP TOPO,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2099/,8782,-2865.6,-0.32630380323388747,ok
2100,pcDNA3.1/GS,Mammalian Expression,Invitrogen,No,https://www.addgene.org/vector-database/2100/,,,,
2101,pcDNA3.1/His A,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2101/,,,,
2102,pcDNA3.1/His B,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2102/,10745,-3963.5,-0.36886924150767797,ok
2103,pcDNA3.1/His C,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2103/,6803,-2534.7,-0.3725856239894164,ok
2104,pcDNA3.1/Hygro(+),Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2104/,7328,-2826.7,-0.3857396288209607,ok
2105,pcDNA3.1/Hygro(-),Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2105/,9405,-3676.5,-0.39090909090909093,ok
2106,pcDNA3.1/NT-GFP Fusion,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2106/,,,,
2107,pcDNA3.1/NT-GFP-TOPO,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2107/,,,,
2108,pcDNA3.1/nV5-DEST,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2108/,11370,-4359.9,-0.3834564643799472,ok
5587,pcDNA3.1/V5-His-TOPO,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/5587/,,,,
2109,pcDNA3.1/V5-His-TOPO/lacZ,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2109/,,,,
2110,pcDNA3.1/Zeo(+),Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2110/,6755,-2526.3,-0.3739896373056995,ok
