Plasmid_ID,Ori's present,Identity of each ori,Cov of each ori,ARG's present,Identity of ARGs,Cov of ARGs
seq_0,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_1,ColE1,99.83,100.00,blaTEM-1,100.00,100.00
seq_10,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_11,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_14,ColE1,99.83,100.00,blaTEM-1,100.00,100.00
seq_15,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_18,ColE1,99.83,100.00,blaTEM-1,100.00,100.00
seq_2,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_20,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_21,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_26,ColE1,99.83,100.00,blaTEM-1,100.00,100.00
seq_28,ColE1,99.83,100.00,blaTEM-1,100.00,100.00
seq_29,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_3,ColE1,99.83,100.00,blaTEM-171,100.00,100.00
seq_32,ColE1,99.83,100.00,blaTEM-171,100.00,100.00
seq_33,ColE1,99.83,100.00,blaTEM-171,100.00,100.00
seq_35,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_36,ColE1,99.83,100.00,blaTEM-171,100.00,100.00
seq_38,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_40,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_41,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_42,ColE1,99.83,100.00,blaTEM-1,100.00,100.00
seq_47,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
