sequence,qseqid,ori_type,pct_identity,pct_cov_subject,q_start,q_end,strand,qlen,sstart,send,slen,length,bitscore,evalue
seq_0,seq_0,ColE1,99.66,100.0,2225,2813,+,3980,1,589,589,589,1054,0.0
seq_1,seq_1,ColE1,99.66,100.0,2207,2795,+,3962,1,589,589,589,1054,0.0
seq_10,seq_10,ColE1,99.66,100.0,2308,2896,+,4063,1,589,589,589,1054,0.0
seq_11,seq_11,ColE1,99.66,100.0,2336,2924,+,4091,1,589,589,589,1054,0.0
seq_12,seq_12,ColE1,99.66,100.0,2204,2792,+,3959,1,589,589,589,1054,0.0
seq_13,seq_13,ColE1,99.66,100.0,2210,2798,+,3965,1,589,589,589,1054,0.0
seq_14,seq_14,ColE1,99.66,100.0,2181,2769,+,3936,1,589,589,589,1054,0.0
seq_15,seq_15,ColE1,99.66,100.0,2305,2893,+,4060,1,589,589,589,1054,0.0
seq_16,seq_16,ColE1,99.66,100.0,2197,2785,+,3952,1,589,589,589,1054,0.0
seq_17,seq_17,ColE1,99.66,100.0,2923,3511,+,4678,1,589,589,589,1054,0.0
seq_18,seq_18,ColE1,99.66,100.0,2267,2855,+,4022,1,589,589,589,1054,0.0
seq_19,seq_19,ColE1,99.66,100.0,2320,2908,+,4075,1,589,589,589,1054,0.0
seq_2,seq_2,ColE1,99.66,100.0,2286,2874,+,4041,1,589,589,589,1054,0.0
seq_20,seq_20,ColE1,99.66,100.0,2219,2807,+,3974,1,589,589,589,1054,0.0
seq_21,seq_21,ColE1,99.66,100.0,2295,2883,+,4050,1,589,589,589,1054,0.0
seq_22,seq_22,ColE1,99.66,100.0,2565,3153,+,4320,1,589,589,589,1054,0.0
seq_23,seq_23,ColE1,99.66,100.0,2381,2969,+,4136,1,589,589,589,1054,0.0
seq_24,seq_24,ColE1,99.66,100.0,2180,2768,+,3935,1,589,589,589,1054,0.0
seq_25,seq_25,ColE1,99.66,100.0,3179,3767,+,4934,1,589,589,589,1054,0.0
seq_26,seq_26,ColE1,99.66,100.0,2950,3538,+,4705,1,589,589,589,1054,0.0
seq_27,seq_27,ColE1,99.66,100.0,2228,2816,+,3983,1,589,589,589,1054,0.0
seq_28,seq_28,ColE1,99.66,100.0,2463,3051,+,4218,1,589,589,589,1054,0.0
seq_29,seq_29,ColE1,99.66,100.0,2377,2965,+,4132,1,589,589,589,1054,0.0
seq_3,seq_3,ColE1,99.66,100.0,2296,2884,+,4051,1,589,589,589,1054,0.0
