sample,ori_csv,amr_csv,prodigal,n_ori_kept,n_amr
seq_0,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_0/seq_0.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_0/seq_0.amr_calls.csv,True,0,1
seq_1,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_1/seq_1.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_1/seq_1.amr_calls.csv,True,0,1
seq_10,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_10/seq_10.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_10/seq_10.amr_calls.csv,True,0,1
seq_11,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_11/seq_11.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_11/seq_11.amr_calls.csv,True,0,1
seq_12,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_12/seq_12.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_12/seq_12.amr_calls.csv,True,0,0
seq_13,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_13/seq_13.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_13/seq_13.amr_calls.csv,True,0,1
seq_14,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_14/seq_14.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_14/seq_14.amr_calls.csv,True,0,1
seq_15,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_15/seq_15.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_15/seq_15.amr_calls.csv,True,0,1
seq_16,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_16/seq_16.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_16/seq_16.amr_calls.csv,True,0,1
seq_17,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_17/seq_17.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_17/seq_17.amr_calls.csv,True,0,1
seq_18,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_18/seq_18.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_18/seq_18.amr_calls.csv,True,0,1
seq_19,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_19/seq_19.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_19/seq_19.amr_calls.csv,True,0,1
seq_2,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_2/seq_2.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_2/seq_2.amr_calls.csv,True,1,1
seq_20,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_20/seq_20.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_20/seq_20.amr_calls.csv,True,0,2
seq_21,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_21/seq_21.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_21/seq_21.amr_calls.csv,True,0,1
seq_22,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_22/seq_22.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_22/seq_22.amr_calls.csv,True,0,1
seq_23,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_23/seq_23.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_23/seq_23.amr_calls.csv,True,0,1
seq_24,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_24/seq_24.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_24/seq_24.amr_calls.csv,True,0,1
seq_25,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_25/seq_25.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_25/seq_25.amr_calls.csv,True,0,1
seq_26,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_26/seq_26.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_26/seq_26.amr_calls.csv,True,0,1
seq_27,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_27/seq_27.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_27/seq_27.amr_calls.csv,True,0,1
seq_28,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_28/seq_28.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_28/seq_28.amr_calls.csv,True,1,1
seq_29,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_29/seq_29.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_29/seq_29.amr_calls.csv,True,0,1
seq_3,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_3/seq_3.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_3/seq_3.amr_calls.csv,True,0,1
seq_30,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_30/seq_30.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_30/seq_30.amr_calls.csv,True,0,1
seq_31,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_31/seq_31.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_31/seq_31.amr_calls.csv,True,0,1
seq_32,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_32/seq_32.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_32/seq_32.amr_calls.csv,True,0,1
seq_33,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_33/seq_33.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_33/seq_33.amr_calls.csv,True,0,1
seq_34,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_34/seq_34.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_34/seq_34.amr_calls.csv,True,0,1
seq_35,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_35/seq_35.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_35/seq_35.amr_calls.csv,True,0,1
seq_36,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_36/seq_36.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_36/seq_36.amr_calls.csv,True,0,1
seq_37,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_37/seq_37.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_37/seq_37.amr_calls.csv,True,0,1
seq_38,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_38/seq_38.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_38/seq_38.amr_calls.csv,True,0,1
seq_39,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_39/seq_39.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_39/seq_39.amr_calls.csv,True,0,1
