sequence,symbol,name,start,end,strand,pct_identity,pct_cov
seq_0,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1187,2044,+,100.0,100.0
seq_0,tet(C),tetracycline efflux MFS transporter Tet(C),4066,4686,-,100.0,52.27
seq_1,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1075,1932,+,100.0,100.0
seq_1,tet(C),tetracycline efflux MFS transporter Tet(C),3954,4574,-,100.0,52.27
seq_10,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,800,1657,+,100.0,100.0
seq_10,tet(C),tetracycline efflux MFS transporter Tet(C),3679,4299,-,100.0,52.27
seq_11,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1221,2078,+,100.0,100.0
seq_11,tet(C),tetracycline efflux MFS transporter Tet(C),4100,4720,-,100.0,52.27
seq_12,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1315,2172,+,100.0,100.0
seq_12,tet(C),tetracycline efflux MFS transporter Tet(C),4194,4814,-,100.0,52.27
seq_13,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1268,2125,+,100.0,100.0
seq_13,tet(C),tetracycline efflux MFS transporter Tet(C),4147,4767,-,100.0,52.27
seq_14,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,979,1836,+,100.0,100.0
seq_14,tet(C),tetracycline efflux MFS transporter Tet(C),3858,4478,-,100.0,52.27
seq_15,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1020,1877,+,100.0,100.0
seq_15,tet(C),tetracycline efflux MFS transporter Tet(C),3899,4519,-,100.0,52.27
seq_16,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1300,2157,+,100.0,100.0
seq_16,tet(C),tetracycline efflux MFS transporter Tet(C),4179,4799,-,100.0,52.27
seq_17,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1027,1884,+,100.0,100.0
seq_17,tet(C),tetracycline efflux MFS transporter Tet(C),3906,4526,-,100.0,52.27
seq_18,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,839,1696,+,100.0,100.0
seq_18,tet(C),tetracycline efflux MFS transporter Tet(C),3718,4338,-,100.0,52.27
seq_19,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1074,1931,+,100.0,100.0
seq_19,tet(C),tetracycline efflux MFS transporter Tet(C),3953,4573,-,100.0,52.27
seq_2,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1443,2300,+,100.0,100.0
seq_2,tet(C),tetracycline efflux MFS transporter Tet(C),4322,4942,-,100.0,52.27
seq_20,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,963,1820,+,100.0,100.0
seq_20,tet(C),tetracycline efflux MFS transporter Tet(C),3842,4462,-,100.0,52.27
seq_21,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1001,1858,+,100.0,100.0
seq_21,tet(C),tetracycline efflux MFS transporter Tet(C),3880,4500,-,100.0,52.27
seq_22,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1201,2058,+,100.0,100.0
seq_22,tet(C),tetracycline efflux MFS transporter Tet(C),4080,4700,-,100.0,52.27
seq_23,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1590,2447,+,100.0,100.0
seq_23,tet(C),tetracycline efflux MFS transporter Tet(C),4469,5089,-,100.0,52.27
