sequence,qseqid,ori_type,pct_identity,pct_cov_subject,q_start,q_end,strand,qlen,sstart,send,slen,length,bitscore,evalue
seq_1,seq_1,ColE1,99.66,100.0,3209,3797,+,27159,1,589,589,589,1054,0.0
seq_1,seq_1,ColE1,99.66,100.0,16124,16712,-,27159,589,1,589,589,1054,0.0
seq_1,seq_1,ColE1,99.66,100.0,14253,14841,+,27159,1,589,589,589,1054,0.0
seq_10,seq_10,ColE1,99.66,100.0,329,917,-,16627,589,1,589,589,1054,0.0
seq_11,seq_11,ColE1,99.83,100.0,3647,4235,+,12866,1,589,589,589,1058,0.0
seq_11,seq_11,ColE1,99.66,100.0,10393,10981,-,12866,589,1,589,589,1054,0.0
seq_11,seq_11,Col(pHAD28)_1__KU674895,89.313,100.0,7709,7839,-,12866,131,1,131,131,174,1.5800000000000001e-43
seq_12,seq_12,ColE1,99.83,100.0,5069,5657,+,15955,1,589,589,589,1058,0.0
seq_12,seq_12,ColE1,99.66,100.0,6721,7309,+,15955,1,589,589,589,1054,0.0
seq_12,seq_12,Col(pHAD28)_1__KU674895,89.313,100.0,360,490,-,15955,131,1,131,131,174,1.96e-43
seq_14,seq_14,ColE1,99.66,100.0,10730,11318,+,13245,1,589,589,589,1054,0.0
seq_14,seq_14,Col(pHAD28)_1__KU674895,89.313,100.0,12738,12868,-,13245,131,1,131,131,174,1.6200000000000001e-43
seq_14,seq_14,Col(pHAD28)_1__KU674895,89.313,100.0,3414,3544,-,13245,131,1,131,131,174,1.6200000000000001e-43
seq_17,seq_17,ColE1,99.83,100.0,15753,16341,+,23620,1,589,589,589,1058,0.0
seq_17,seq_17,ColE1,99.66,100.0,1887,2475,+,23620,1,589,589,589,1054,0.0
seq_17,seq_17,Col(pHAD28)_1__KU674895,89.313,100.0,12910,13040,-,23620,131,1,131,131,174,2.8999999999999997e-43
seq_17,seq_17,Col(pHAD28)_1__KU674895,89.313,100.0,7322,7452,-,23620,131,1,131,131,174,2.8999999999999997e-43
seq_17,seq_17,Col(pHAD28)_1__KU674895,89.313,100.0,3453,3583,-,23620,131,1,131,131,174,2.8999999999999997e-43
seq_18,seq_18,ColE1,99.66,100.0,800,1388,+,13362,1,589,589,589,1054,0.0
seq_18,seq_18,ColE1,99.66,100.0,8224,8812,-,13362,589,1,589,589,1054,0.0
seq_18,seq_18,Col(pHAD28)_1__KU674895,89.313,100.0,3916,4046,+,13362,1,131,131,131,174,1.6400000000000002e-43
seq_18,seq_18,Col(pHAD28)_1__KU674895,89.313,100.0,2812,2942,-,13362,131,1,131,131,174,1.6400000000000002e-43
seq_19,seq_19,ColE1,99.83,100.0,11102,11690,+,20059,1,589,589,589,1058,0.0
seq_19,seq_19,ColE1,99.66,100.0,16788,17376,-,20059,589,1,589,589,1054,0.0
seq_19,seq_19,Col(pHAD28)_1__KU674895,89.313,100.0,3060,3190,-,20059,131,1,131,131,174,2.46e-43
seq_19,seq_19,Col(pHAD28)_1__KU674895,89.313,100.0,723,853,-,20059,131,1,131,131,174,2.46e-43
seq_2,seq_2,ColE1,99.66,100.0,8050,8638,+,10901,1,589,589,589,1054,0.0
seq_2,seq_2,Col(pHAD28)_1__KU674895,89.313,100.0,10287,10417,-,10901,131,1,131,131,174,1.34e-43
seq_2,seq_2,Col(pHAD28)_1__KU674895,89.313,100.0,9150,9280,-,10901,131,1,131,131,174,1.34e-43
seq_20,seq_20,Col(pHAD28)_1__KU674895,89.313,100.0,13242,13372,-,14049,131,1,131,131,174,1.72e-43
seq_20,seq_20,Col(pHAD28)_1__KU674895,89.313,100.0,5583,5713,-,14049,131,1,131,131,174,1.72e-43
seq_21,seq_21,ColE1,99.83,100.0,6148,6736,+,14223,1,589,589,589,1058,0.0
seq_21,seq_21,ColE1,99.66,100.0,2072,2660,-,14223,589,1,589,589,1054,0.0
seq_21,seq_21,Col(pHAD28)_1__KU674895,89.313,100.0,13432,13562,-,14223,131,1,131,131,174,1.74e-43
seq_21,seq_21,Col(pHAD28)_1__KU674895,89.313,100.0,12103,12233,-,14223,131,1,131,131,174,1.74e-43
seq_22,seq_22,ColE1,99.66,100.0,1433,2021,+,21529,1,589,589,589,1054,0.0
seq_22,seq_22,ColE1,99.66,100.0,17079,17667,+,21529,1,589,589,589,1054,0.0
seq_22,seq_22,ColE1,99.491,100.0,10729,11317,-,21529,589,1,589,589,1049,0.0
seq_22,seq_22,Col(pHAD28)_1__KU674895,89.313,100.0,13217,13347,-,21529,131,1,131,131,174,2.64e-43
seq_22,seq_22,Col(pHAD28)_1__KU674895,89.313,100.0,9415,9545,-,21529,131,1,131,131,174,2.64e-43
seq_23,seq_23,ColE1,99.83,100.0,6527,7115,+,15127,1,589,589,589,1058,0.0
seq_23,seq_23,ColE1,99.66,100.0,10399,10987,-,15127,589,1,589,589,1054,0.0
seq_24,seq_24,ColE1,99.66,100.0,5615,6203,+,17870,1,589,589,589,1054,0.0
seq_24,seq_24,ColE1,99.66,100.0,12692,13280,+,17870,1,589,589,589,1054,0.0
seq_24,seq_24,ColE1,99.66,100.0,15476,16064,+,17870,1,589,589,589,1054,0.0
seq_24,seq_24,ColE1,99.63,91.68081494057724,6683,7222,-,17870,589,50,589,540,966,0.0
seq_25,seq_25,ColE1,99.66,100.0,7926,8514,+,9225,1,589,589,589,1054,0.0
seq_25,seq_25,Col(pHAD28)_1__KU674895,89.313,100.0,3533,3663,-,9225,131,1,131,131,174,1.1300000000000001e-43
seq_26,seq_26,ColE1,99.83,100.0,3035,3623,-,9645,589,1,589,589,1058,0.0
seq_26,seq_26,Col(pHAD28)_1__KU674895,89.313,100.0,8853,8983,-,9645,131,1,131,131,174,1.18e-43
seq_27,seq_27,ColE1,99.66,100.0,12702,13290,-,17731,589,1,589,589,1054,0.0
seq_27,seq_27,ColE1,99.66,100.0,5813,6401,+,17731,1,589,589,589,1054,0.0
seq_27,seq_27,ColE1,99.66,100.0,1518,2106,-,17731,589,1,589,589,1054,0.0
seq_27,seq_27,Col(pHAD28)_1__KU674895,89.313,100.0,11314,11444,-,17731,131,1,131,131,174,2.18e-43
seq_28,seq_28,ColE1,99.66,100.0,7870,8458,-,16356,589,1,589,589,1054,0.0
seq_28,seq_28,ColE1,99.66,100.0,2926,3514,-,16356,589,1,589,589,1054,0.0
seq_28,seq_28,ColE1,99.66,100.0,13075,13663,+,16356,1,589,589,589,1054,0.0
seq_29,seq_29,ColE1,99.66,100.0,11641,12229,-,14707,589,1,589,589,1054,0.0
seq_29,seq_29,ColE1,99.66,100.0,5755,6343,-,14707,589,1,589,589,1054,0.0
seq_29,seq_29,Col(pHAD28)_1__KU674895,89.313,100.0,5345,5475,+,14707,1,131,131,131,174,1.8e-43
seq_3,seq_3,ColE1,99.66,100.0,17158,17746,-,19051,589,1,589,589,1054,0.0
seq_3,seq_3,ColE1,99.66,100.0,3500,4088,+,19051,1,589,589,589,1054,0.0
seq_3,seq_3,ColE1,99.66,100.0,13819,14407,+,19051,1,589,589,589,1054,0.0
seq_3,seq_3,ColE1,99.491,100.0,8337,8925,-,19051,589,1,589,589,1049,0.0
seq_30,seq_30,ColE1,99.83,100.0,11700,12288,+,19572,1,589,589,589,1058,0.0
seq_30,seq_30,ColE1,99.66,100.0,4497,5085,+,19572,1,589,589,589,1054,0.0
seq_30,seq_30,ColE1,99.66,100.0,16466,17054,+,19572,1,589,589,589,1054,0.0
seq_30,seq_30,Col(pHAD28)_1__KU674895,89.313,100.0,18090,18220,-,19572,131,1,131,131,174,2.3999999999999998e-43
seq_30,seq_30,Col(pHAD28)_1__KU674895,89.313,100.0,8329,8459,-,19572,131,1,131,131,174,2.3999999999999998e-43
seq_32,seq_32,ColE1,99.83,100.0,16383,16971,+,20845,1,589,589,589,1058,0.0
seq_32,seq_32,ColE1,99.66,100.0,11693,12281,-,20845,589,1,589,589,1054,0.0
seq_32,seq_32,ColE1,99.66,100.0,10512,11100,+,20845,1,589,589,589,1054,0.0
seq_32,seq_32,ColE1,99.66,100.0,2793,3381,-,20845,589,1,589,589,1054,0.0
seq_33,seq_33,ColE1,99.66,100.0,3255,3843,+,22861,1,589,589,589,1054,0.0
seq_33,seq_33,ColE1,99.66,100.0,7547,8135,+,22861,1,589,589,589,1054,0.0
seq_33,seq_33,ColE1,99.66,100.0,10298,10886,-,22861,589,1,589,589,1054,0.0
seq_33,seq_33,Col(pHAD28)_1__KU674895,89.313,100.0,22273,22403,-,22861,131,1,131,131,174,2.8000000000000002e-43
seq_33,seq_33,Col(pHAD28)_1__KU674895,89.313,100.0,21777,21907,-,22861,131,1,131,131,174,2.8000000000000002e-43
seq_33,seq_33,Col(pHAD28)_1__KU674895,89.313,100.0,20029,20159,-,22861,131,1,131,131,174,2.8000000000000002e-43
seq_33,seq_33,Col(pHAD28)_1__KU674895,89.313,100.0,17045,17175,-,22861,131,1,131,131,174,2.8000000000000002e-43
