sequence,qseqid,ori_type,pct_identity,pct_cov_subject,q_start,q_end,strand,qlen,sstart,send,slen,length,bitscore,evalue
seq_0,seq_0,ColE1,99.83,100.0,1864,2452,+,6963,1,589,589,589,1058,0.0
seq_1,seq_1,ColE1,99.83,100.0,2019,2607,+,7005,1,589,589,589,1058,0.0
seq_10,seq_10,ColE1,99.83,100.0,1876,2464,+,6953,1,589,589,589,1058,0.0
seq_11,seq_11,ColE1,99.83,100.0,1890,2478,+,6967,1,589,589,589,1058,0.0
seq_12,seq_12,ColE1,99.83,100.0,1864,2452,+,6989,1,589,589,589,1058,0.0
seq_13,seq_13,ColE1,99.83,100.0,2158,2746,+,7126,1,589,589,589,1058,0.0
seq_14,seq_14,ColE1,99.83,100.0,1883,2471,+,6986,1,589,589,589,1058,0.0
seq_15,seq_15,ColE1,99.83,100.0,1889,2477,+,6962,1,589,589,589,1058,0.0
seq_16,seq_16,ColE1,99.83,100.0,1788,2376,+,6951,1,589,589,589,1058,0.0
seq_17,seq_17,ColE1,99.83,100.0,1810,2398,+,7047,1,589,589,589,1058,0.0
seq_18,seq_18,ColE1,99.83,100.0,1949,2537,+,7045,1,589,589,589,1058,0.0
seq_19,seq_19,ColE1,99.83,100.0,1986,2574,+,6931,1,589,589,589,1058,0.0
seq_2,seq_2,ColE1,99.83,100.0,1685,2273,+,6992,1,589,589,589,1058,0.0
seq_20,seq_20,ColE1,99.83,100.0,1954,2542,+,6992,1,589,589,589,1058,0.0
seq_21,seq_21,ColE1,99.83,100.0,1846,2434,+,7000,1,589,589,589,1058,0.0
seq_22,seq_22,ColE1,99.83,100.0,1840,2428,+,6683,1,589,589,589,1058,0.0
seq_23,seq_23,ColE1,99.83,100.0,2085,2673,+,7101,1,589,589,589,1058,0.0
seq_24,seq_24,ColE1,99.83,100.0,2595,3183,+,7116,1,589,589,589,1058,0.0
seq_25,seq_25,ColE1,99.83,100.0,1913,2501,+,7030,1,589,589,589,1058,0.0
seq_26,seq_26,ColE1,99.83,100.0,1903,2491,+,7054,1,589,589,589,1058,0.0
seq_27,seq_27,ColE1,99.83,100.0,1735,2323,+,6834,1,589,589,589,1058,0.0
seq_28,seq_28,ColE1,99.83,100.0,1988,2576,+,7036,1,589,589,589,1058,0.0
seq_29,seq_29,ColE1,99.83,100.0,1837,2425,+,6946,1,589,589,589,1058,0.0
seq_3,seq_3,ColE1,99.83,100.0,2096,2684,+,7035,1,589,589,589,1058,0.0
seq_30,seq_30,ColE1,99.83,100.0,1899,2487,+,6927,1,589,589,589,1058,0.0
