Plasmid_ID,Ori's present,Identity of each ori,Cov of each ori,ARG's present,Identity of ARGs,Cov of ARGs
seq_0,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_1,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_14,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_16,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_18,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_2,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_20,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_23,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_29,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_31,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_33,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_34,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_35,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_4,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_42,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_45,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_46,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_48,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_53,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_57,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_60,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_63,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_64,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_66,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_68,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_70,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_77,ColE1,99.66,100.00,aph(3')-Ia,100.00,100.00
seq_81,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_84,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_85,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_86,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_87,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_88,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_90,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_96,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_97,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_99,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
