plasmid_id,length,gc_content,longest_orf_any_frame,longest_orf_atg_fwd,longest_orf_atg_rev,longest_orf_atg_both,num_orfs_100aa
McClain_PlasmidGPT_RL_ATG_0000,7042,0.5173246236864527,290,286,319,319,8
McClain_PlasmidGPT_RL_ATG_0001,6971,0.5111174867307416,290,286,319,319,8
McClain_PlasmidGPT_RL_ATG_0002,223,0.484304932735426,41,32,43,43,0
McClain_PlasmidGPT_RL_ATG_0003,7008,0.5159817351598174,290,286,319,319,9
McClain_PlasmidGPT_RL_ATG_0004,74,0.5675675675675675,24,11,0,11,0
McClain_PlasmidGPT_RL_ATG_0005,7042,0.5183186594717409,290,286,319,319,7
McClain_PlasmidGPT_RL_ATG_0006,6972,0.5174985656913368,290,286,319,319,8
McClain_PlasmidGPT_RL_ATG_0007,1473,0.45824847250509165,444,371,43,371,5
McClain_PlasmidGPT_RL_ATG_0008,44,0.36363636363636365,14,0,0,0,0
McClain_PlasmidGPT_RL_ATG_0009,6873,0.5256801978757457,290,286,319,319,8
McClain_PlasmidGPT_RL_ATG_0010,7037,0.5107290038368623,290,286,319,319,9
McClain_PlasmidGPT_RL_ATG_0011,9,0.4444444444444444,3,0,0,0,0
McClain_PlasmidGPT_RL_ATG_0012,33,0.5757575757575758,11,0,0,0,0
McClain_PlasmidGPT_RL_ATG_0013,6865,0.5187181354697742,290,286,319,319,8
McClain_PlasmidGPT_RL_ATG_0014,60,0.5333333333333333,20,0,0,0,0
McClain_PlasmidGPT_RL_ATG_0015,27,0.6666666666666666,9,0,0,0,0
McClain_PlasmidGPT_RL_ATG_0016,29,0.5172413793103449,9,0,0,0,0
McClain_PlasmidGPT_RL_ATG_0017,9,0.7777777777777778,3,0,0,0,0
McClain_PlasmidGPT_RL_ATG_0018,7033,0.5198350632731409,290,286,319,319,7
McClain_PlasmidGPT_RL_ATG_0019,9,0.7777777777777778,3,0,0,0,0
McClain_PlasmidGPT_RL_ATG_0020,7036,0.5200397953382604,290,286,319,319,7
McClain_PlasmidGPT_RL_ATG_0021,32,0.65625,10,7,0,7,0
McClain_PlasmidGPT_RL_ATG_0022,117,0.6239316239316239,39,0,0,0,0
McClain_PlasmidGPT_RL_ATG_0023,40,0.525,13,0,0,0,0
McClain_PlasmidGPT_RL_ATG_0024,29,0.5517241379310345,9,0,0,0,0
McClain_PlasmidGPT_RL_ATG_0025,78,0.3974358974358974,21,6,0,6,0
McClain_PlasmidGPT_RL_ATG_0026,23,0.34782608695652173,7,0,0,0,0
McClain_PlasmidGPT_RL_ATG_0027,61,0.5901639344262295,20,0,0,0,0
McClain_PlasmidGPT_RL_ATG_0028,36,0.5555555555555556,12,0,0,0,0
McClain_PlasmidGPT_RL_ATG_0029,7006,0.5166999714530403,290,286,319,319,7
McClain_PlasmidGPT_RL_ATG_0030,95,0.29473684210526313,17,11,0,11,0
McClain_PlasmidGPT_RL_ATG_0031,7093,0.5129000422952207,290,286,319,319,7
McClain_PlasmidGPT_RL_ATG_0032,183,0.6557377049180327,61,0,34,34,0
McClain_PlasmidGPT_RL_ATG_0033,7013,0.5129046057322116,290,286,319,319,10
McClain_PlasmidGPT_RL_ATG_0034,64,0.5625,21,0,14,14,0
McClain_PlasmidGPT_RL_ATG_0035,6974,0.5255233725265271,290,286,319,319,8
McClain_PlasmidGPT_RL_ATG_0036,30,0.3333333333333333,10,0,0,0,0
McClain_PlasmidGPT_RL_ATG_0037,7122,0.5188149396237012,290,286,319,319,9
McClain_PlasmidGPT_RL_ATG_0038,7016,0.5235176738882554,290,286,319,319,8
McClain_PlasmidGPT_RL_ATG_0039,28,0.6071428571428571,9,0,0,0,0
McClain_PlasmidGPT_RL_ATG_0040,7132,0.516404935501963,290,286,319,319,7
McClain_PlasmidGPT_RL_ATG_0041,84,0.5357142857142857,27,6,0,6,0
McClain_PlasmidGPT_RL_ATG_0042,9,0.7777777777777778,3,0,0,0,0
McClain_PlasmidGPT_RL_ATG_0043,6990,0.5217453505007154,290,286,319,319,7
McClain_PlasmidGPT_RL_ATG_0044,113,0.5309734513274337,37,10,8,10,0
McClain_PlasmidGPT_RL_ATG_0045,7053,0.5118389337870409,290,286,319,319,8
McClain_PlasmidGPT_RL_ATG_0046,56,0.48214285714285715,18,0,0,0,0
McClain_PlasmidGPT_RL_ATG_0047,7048,0.5178774120317821,290,286,319,319,7
McClain_PlasmidGPT_RL_ATG_0048,6624,0.47252415458937197,245,242,286,286,8
McClain_PlasmidGPT_RL_ATG_0049,52,0.5961538461538461,17,0,0,0,0
