sequence,qseqid,ori_type,pct_identity,pct_cov_subject,q_start,q_end,strand,qlen,sstart,send,slen,length,bitscore,evalue
seq_0,seq_0,Col(pHAD28)_1__KU674895,89.313,100.0,3389,3519,-,7448,131,1,131,131,174,9.13e-44
seq_1,seq_1,ColE1,99.66,100.0,13873,14461,-,16322,589,1,589,589,1054,0.0
seq_1,seq_1,ColE1,99.66,100.0,12389,12977,+,16322,1,589,589,589,1054,0.0
seq_1,seq_1,ColE1,99.491,100.0,6676,7264,+,16322,1,589,589,589,1049,0.0
seq_10,seq_10,ColE1,99.66,100.0,1606,2194,-,5092,589,1,589,589,1054,0.0
seq_11,seq_11,ColE1,99.66,100.0,1878,2466,-,11911,589,1,589,589,1054,0.0
seq_11,seq_11,ColE1,99.491,100.0,4152,4740,+,11911,1,589,589,589,1049,0.0
seq_12,seq_12,Col(pHAD28)_1__KU674895,89.313,100.0,8578,8708,-,10554,131,1,131,131,174,1.29e-43
seq_13,seq_13,ColE1,99.66,100.0,4720,5308,-,9916,589,1,589,589,1054,0.0
seq_13,seq_13,Col(pHAD28)_1__KU674895,89.313,100.0,7437,7567,-,9916,131,1,131,131,174,1.2200000000000001e-43
seq_15,seq_15,ColE1,99.66,100.0,8878,9466,-,12279,589,1,589,589,1054,0.0
seq_15,seq_15,ColE1,99.66,100.0,2295,2883,-,12279,589,1,589,589,1054,0.0
seq_15,seq_15,Col(pHAD28)_1__KU674895,89.313,100.0,4910,5040,-,12279,131,1,131,131,174,1.5100000000000001e-43
seq_16,seq_16,ColE1,99.66,100.0,6189,6777,-,9603,589,1,589,589,1054,0.0
seq_16,seq_16,ColE1,99.66,100.0,1808,2396,-,9603,589,1,589,589,1054,0.0
seq_17,seq_17,ColE1,99.66,100.0,7477,8065,+,8662,1,589,589,589,1054,0.0
seq_17,seq_17,Col(pHAD28)_1__KU674895,89.313,100.0,5608,5738,-,8662,131,1,131,131,174,1.06e-43
seq_17,seq_17,Col(pHAD28)_1__KU674895,89.313,100.0,2474,2604,-,8662,131,1,131,131,174,1.06e-43
seq_18,seq_18,ColE1,99.66,100.0,4371,4959,-,8218,589,1,589,589,1054,0.0
seq_18,seq_18,ColE1,99.66,100.0,2103,2691,-,8218,589,1,589,589,1054,0.0
seq_20,seq_20,ColE1,99.491,100.0,4804,5392,+,19272,1,589,589,589,1049,0.0
seq_20,seq_20,ColE1,99.491,100.0,7540,8128,+,19272,1,589,589,589,1049,0.0
seq_21,seq_21,ColE1,99.66,100.0,3216,3804,-,10827,589,1,589,589,1054,0.0
seq_22,seq_22,ColE1,99.66,100.0,3696,4284,+,15715,1,589,589,589,1054,0.0
seq_22,seq_22,ColE1,99.66,100.0,11321,11909,+,15715,1,589,589,589,1054,0.0
seq_22,seq_22,Col(pHAD28)_1__KU674895,89.313,100.0,7515,7645,-,15715,131,1,131,131,174,1.93e-43
seq_23,seq_23,Col(pHAD28)_1__KU674895,89.313,100.0,3845,3975,-,6606,131,1,131,131,174,8.100000000000001e-44
seq_25,seq_25,ColE1,99.491,100.0,5925,6513,-,7745,589,1,589,589,1049,0.0
seq_25,seq_25,Col(pHAD28)_1__KU674895,89.313,100.0,4708,4838,-,7745,131,1,131,131,174,9.500000000000001e-44
seq_26,seq_26,ColE1,99.66,100.0,9886,10474,-,12674,589,1,589,589,1054,0.0
seq_26,seq_26,ColE1,99.66,100.0,6154,6742,+,12674,1,589,589,589,1054,0.0
seq_26,seq_26,ColE1,99.491,100.0,3300,3888,+,12674,1,589,589,589,1049,0.0
seq_27,seq_27,ColE1,99.83,100.0,2073,2661,+,12204,1,589,589,589,1058,0.0
seq_27,seq_27,ColE1,99.66,100.0,7918,8506,-,12204,589,1,589,589,1054,0.0
seq_27,seq_27,ColE1,99.66,100.0,6724,7312,+,12204,1,589,589,589,1054,0.0
seq_28,seq_28,Col(pHAD28)_1__KU674895,89.313,100.0,3490,3620,-,7606,131,1,131,131,174,9.33e-44
seq_29,seq_29,Col(pHAD28)_1__KU674895,89.313,100.0,651,781,-,4720,131,1,131,131,174,5.78e-44
seq_31,seq_31,ColE1,99.83,100.0,2926,3514,+,9129,1,589,589,589,1058,0.0
seq_31,seq_31,Col(pHAD28)_1__KU674895,89.313,100.0,7941,8071,-,9129,131,1,131,131,174,1.12e-43
seq_31,seq_31,Col(pHAD28)_1__KU674895,89.313,100.0,5748,5878,-,9129,131,1,131,131,174,1.12e-43
