sequence,symbol,name,start,end,strand,pct_identity,pct_cov
seq_0,aph(3')-IIIa,aminoglycoside O-phosphotransferase APH(3')-IIIa,28,819,-,100.0,100.0
seq_0,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,11114,11971,+,100.0,100.0
seq_1,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2178,3035,+,100.0,100.0
seq_1,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,5752,6543,+,99.62,100.0
seq_1,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,11016,11807,+,100.0,100.0
seq_1,blaTEM-181,class A beta-lactamase TEM-181,13222,14079,+,100.0,100.0
seq_1,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,16886,17743,-,100.0,100.0
seq_1,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,22017,22547,+,100.0,67.05
seq_10,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1091,1948,-,100.0,100.0
seq_10,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,6603,7391,+,100.0,100.0
seq_11,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,498,1289,+,99.62,100.0
seq_11,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,2713,3525,-,100.0,100.0
seq_12,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,3667,4458,+,99.62,100.0
seq_12,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,11355,12146,+,100.0,100.0
seq_14,ble-Sh,phleomycin/bleomycin binding protein Ble-Sh,2084,2455,+,100.0,100.0
seq_14,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,5458,6249,+,99.62,100.0
seq_14,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,9699,10556,+,100.0,100.0
seq_15,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,3636,4427,+,99.62,100.0
seq_15,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,5719,6252,+,99.44,67.42
seq_15,blaTEM,TEM family class A beta-lactamase,7442,7987,-,100.0,63.64
seq_16,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,2832,3689,-,100.0,100.0
seq_16,blaTEM,TEM family class A beta-lactamase,7085,7636,-,98.91,64.34
seq_16,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,10162,10953,+,100.0,100.0
seq_17,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,1003,1791,+,100.0,100.0
seq_17,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,5173,5964,+,99.62,100.0
seq_17,aph(3')-IIIa,aminoglycoside O-phosphotransferase APH(3')-IIIa,7995,8786,-,100.0,100.0
seq_17,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,10454,11245,+,99.62,100.0
seq_17,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,14351,15142,+,99.62,100.0
seq_17,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,22645,23436,+,100.0,100.0
seq_19,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,10071,10928,+,100.0,100.0
seq_19,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,13371,14162,+,99.62,100.0
seq_19,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,17550,18407,-,100.0,100.0
seq_21,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2834,3691,-,100.0,100.0
seq_21,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,5214,6026,-,100.0,100.0
seq_22,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,402,1259,+,100.0,100.0
seq_22,blaTEM,TEM family class A beta-lactamase,2593,3138,-,100.0,63.64
seq_22,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,11491,12348,-,100.0,100.0
seq_22,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,16048,16905,+,100.0,100.0
seq_22,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,20089,20880,+,100.0,100.0
seq_23,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,3090,3881,+,99.62,100.0
seq_23,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,5593,6405,-,100.0,100.0
seq_23,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,11161,12018,-,100.0,100.0
seq_23,aph(3')-IIIa,aminoglycoside O-phosphotransferase APH(3')-IIIa,13056,13847,-,100.0,100.0
seq_24,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,2093,2884,+,100.0,100.0
seq_24,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4584,5441,+,100.0,100.0
seq_24,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,11661,12518,+,100.0,100.0
seq_24,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,14445,15302,+,100.0,100.0
seq_25,ble-Sh,phleomycin/bleomycin binding protein Ble-Sh,2883,3254,+,100.0,100.0
seq_25,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,6895,7752,+,100.0,100.0
seq_26,ble-Sh,phleomycin/bleomycin binding protein Ble-Sh,1983,2354,+,100.0,100.0
seq_26,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,5824,6615,+,100.0,100.0
seq_27,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2280,3137,-,100.0,100.0
seq_27,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4782,5639,+,100.0,100.0
