sequence,symbol,name,start,end,strand,pct_identity,pct_cov
seq_0,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1622,2479,+,100.0,100.0
seq_0,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,10642,11499,+,100.0,100.0
seq_1,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,1830,2621,+,100.0,100.0
seq_1,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4132,4989,-,100.0,100.0
seq_10,catA1,type A-1 chloramphenicol O-acetyltransferase,309,965,-,100.0,100.0
seq_10,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,6168,6959,+,100.0,100.0
seq_10,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,8470,9327,-,100.0,100.0
seq_11,ble-Sh,phleomycin/bleomycin binding protein Ble-Sh,2657,3028,+,100.0,100.0
seq_11,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4495,5352,-,100.0,100.0
seq_11,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,9885,10742,+,100.0,100.0
seq_11,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,15524,16381,-,100.0,100.0
seq_11,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,18355,19212,-,100.0,100.0
seq_11,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,22111,22968,+,100.0,100.0
seq_11,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,25967,26824,+,100.0,100.0
seq_12,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,1499,2290,+,100.0,100.0
seq_12,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3803,4660,-,100.0,100.0
seq_12,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,7614,8405,+,100.0,100.0
seq_12,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,9916,10773,-,100.0,100.0
seq_14,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,1747,2538,+,100.0,100.0
seq_14,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4049,4906,-,100.0,100.0
seq_14,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,6771,7583,-,100.0,100.0
seq_14,blaTEM-171,class A beta-lactamase TEM-171,12666,13523,+,100.0,100.0
seq_15,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1186,1998,-,100.0,100.0
seq_15,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,9411,10268,+,100.0,100.0
seq_15,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,16193,17050,+,100.0,100.0
seq_15,tet(C),tetracycline efflux MFS transporter Tet(C),19072,19692,-,100.0,52.27
seq_16,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,2194,2985,+,100.0,100.0
seq_16,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4498,5355,-,100.0,100.0
seq_16,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,10240,11097,+,100.0,100.0
seq_16,aph(4)-Ia,aminoglycoside O-phosphotransferase APH(4)-Ia,15708,16727,+,100.0,99.71
seq_16,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,17071,17928,+,100.0,100.0
seq_17,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1897,2754,-,100.0,100.0
seq_17,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4177,5034,-,100.0,100.0
seq_17,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,11178,12035,-,100.0,100.0
seq_18,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,1817,2608,+,99.62,100.0
seq_18,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4687,5544,+,100.0,100.0
seq_18,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,13830,14687,-,100.0,100.0
seq_18,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,19695,20552,-,100.0,100.0
seq_18,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,21323,22114,+,100.0,100.0
seq_18,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,23625,24482,-,100.0,100.0
seq_19,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2629,3486,-,100.0,100.0
seq_19,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,6630,7487,-,100.0,100.0
seq_2,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4062,4919,-,100.0,100.0
seq_2,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,10334,11191,-,100.0,100.0
seq_20,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,3818,4624,+,99.26,100.0
seq_20,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,8071,8862,+,99.62,100.0
seq_21,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,1026,1814,+,100.0,100.0
seq_21,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,6636,7493,+,100.0,100.0
seq_22,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1990,2802,-,100.0,100.0
seq_22,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,8023,8880,+,100.0,100.0
seq_22,tet(C),tetracycline efflux MFS transporter Tet(C),10902,11522,-,100.0,52.27
seq_23,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,5209,6066,+,100.0,100.0
seq_23,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,8997,9803,+,99.26,100.0
seq_23,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,14164,15021,+,100.0,100.0
seq_23,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,25869,26726,+,100.0,100.0
seq_24,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1835,2647,-,100.0,100.0
seq_24,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,7496,8353,+,100.0,100.0
seq_24,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,15571,16428,-,100.0,100.0
seq_25,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1486,2298,-,100.0,100.0
seq_25,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,8106,8918,-,100.0,100.0
seq_26,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3387,4244,-,100.0,100.0
seq_26,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,6539,7396,+,100.0,100.0
seq_26,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,15711,16568,+,100.0,100.0
seq_27,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,2679,3470,+,99.62,100.0
seq_27,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,7474,8265,+,99.62,100.0
seq_27,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,12699,13490,+,100.0,100.0
seq_27,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,15001,15858,-,100.0,100.0
seq_28,blaTEM-171,class A beta-lactamase TEM-171,2078,2935,+,100.0,100.0
seq_28,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,10582,11439,-,100.0,100.0
seq_29,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,1575,2366,+,99.62,100.0
seq_3,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2504,3361,-,100.0,100.0
seq_3,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,5168,5980,-,100.0,100.0
seq_3,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,8642,9499,+,100.0,100.0
seq_30,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,2104,2916,-,100.0,100.0
seq_30,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,8000,8791,+,100.0,100.0
seq_30,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,10302,11159,-,100.0,100.0
seq_30,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,14136,14993,+,100.0,100.0
seq_30,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,23293,24150,+,100.0,100.0
seq_30,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,31122,31910,+,100.0,99.62
seq_31,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1529,2386,+,100.0,100.0
seq_31,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,4397,5188,+,100.0,100.0
seq_31,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,7933,8790,+,100.0,100.0
seq_31,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,20447,21304,+,100.0,100.0
seq_31,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,32036,32893,+,100.0,100.0
seq_31,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,43637,44494,+,100.0,100.0
seq_32,blaTEM,TEM family class A beta-lactamase,9,572,+,98.94,65.73
seq_32,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3511,4368,-,100.0,100.0
seq_32,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,5631,6443,-,100.0,100.0
seq_32,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,12129,12986,-,100.0,100.0
seq_33,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,5878,6735,+,100.0,100.0
seq_33,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,14952,15809,+,100.0,100.0
seq_33,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,30228,31085,+,100.0,100.0
seq_33,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,40719,41576,+,100.0,100.0
seq_34,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,1566,2357,+,100.0,100.0
seq_34,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3868,4725,-,100.0,100.0
