sequence,symbol,name,start,end,strand,pct_identity,pct_cov
seq_0,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_0,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_1,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1646,2503,+,100.0,100.0
seq_1,tet(C),tetracycline efflux MFS transporter Tet(C),4525,5145,-,100.0,52.27
seq_10,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1449,2306,+,100.0,100.0
seq_10,tet(C),tetracycline efflux MFS transporter Tet(C),4328,4948,-,100.0,52.27
seq_11,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1449,2306,+,100.0,100.0
seq_11,tet(C),tetracycline efflux MFS transporter Tet(C),4328,4948,-,100.0,52.27
seq_12,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_12,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_13,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1449,2306,+,100.0,100.0
seq_13,tet(C),tetracycline efflux MFS transporter Tet(C),4328,4948,-,100.0,52.27
seq_14,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_14,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_15,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_15,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_16,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1646,2503,+,100.0,100.0
seq_16,tet(C),tetracycline efflux MFS transporter Tet(C),4525,5145,-,100.0,52.27
seq_17,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1449,2306,+,100.0,100.0
seq_17,tet(C),tetracycline efflux MFS transporter Tet(C),4328,4948,-,100.0,52.27
seq_18,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_18,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_19,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_19,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_2,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1480,2337,+,100.0,100.0
seq_2,tet(C),tetracycline efflux MFS transporter Tet(C),4359,4979,-,100.0,52.27
seq_20,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_20,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_21,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_21,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_22,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_22,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_23,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_23,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_24,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1651,2463,-,100.0,100.0
seq_25,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1650,2507,+,100.0,100.0
seq_25,tet(C),tetracycline efflux MFS transporter Tet(C),4529,5149,-,100.0,52.27
seq_26,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_26,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_27,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1449,2306,+,100.0,100.0
seq_27,tet(C),tetracycline efflux MFS transporter Tet(C),4328,4948,-,100.0,52.27
seq_28,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_28,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_29,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_29,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_3,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1652,2509,+,100.0,100.0
seq_3,tet(C),tetracycline efflux MFS transporter Tet(C),4531,5151,-,100.0,52.27
seq_30,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_30,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_31,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_31,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_32,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1657,2514,+,100.0,100.0
seq_32,tet(C),tetracycline efflux MFS transporter Tet(C),4536,5156,-,100.0,52.27
seq_33,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1646,2503,+,100.0,100.0
seq_33,tet(C),tetracycline efflux MFS transporter Tet(C),4525,5145,-,100.0,52.27
seq_34,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1449,2306,+,100.0,100.0
seq_34,tet(C),tetracycline efflux MFS transporter Tet(C),4328,4948,-,100.0,52.27
seq_35,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1369,2226,+,100.0,100.0
seq_35,tet(C),tetracycline efflux MFS transporter Tet(C),4248,4868,-,100.0,52.27
seq_36,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1449,2306,+,100.0,100.0
seq_36,tet(C),tetracycline efflux MFS transporter Tet(C),4328,4948,-,100.0,52.27
seq_37,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1652,2509,+,100.0,100.0
seq_37,tet(C),tetracycline efflux MFS transporter Tet(C),4531,5151,-,100.0,52.27
seq_38,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
