Name,Protein id,Contig id,Start,Stop,Strand,symbol,name,Scope,Type,Subtype,Class,Subclass,Method,Target length,Reference sequence length,pct_cov,pct_identity,Alignment length,Closest reference accession,Closest reference name,HMM accession,HMM description,sequence
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0000,1803,2615,+,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,core,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,EXACTX,271,271,100.0,100.0,271,WP_000018329.1,aminoglycoside O-phosphotransferase APH(3')-Ia,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0000
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0000,7172,7984,+,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,core,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,EXACTX,271,271,100.0,100.0,271,WP_000018329.1,aminoglycoside O-phosphotransferase APH(3')-Ia,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0000
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0004,2025,2882,-,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027050.1,broad-spectrum class A beta-lactamase TEM-116,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0004
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0004,4884,5741,-,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027050.1,broad-spectrum class A beta-lactamase TEM-116,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0004
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0004,7734,8390,-,catA1,type A-1 chloramphenicol O-acetyltransferase,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,EXACTX,219,219,100.0,100.0,219,WP_000412211.1,type A-1 chloramphenicol O-acetyltransferase,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0004
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0004,10389,11246,-,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027050.1,broad-spectrum class A beta-lactamase TEM-116,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0004
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0004,13249,14040,-,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,core,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,EXACTX,264,264,100.0,100.0,264,WP_000572405.1,aminoglycoside O-phosphotransferase APH(3')-IIa,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0004
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0005,1888,2745,-,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027050.1,broad-spectrum class A beta-lactamase TEM-116,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0005
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0005,5597,6409,-,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,core,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,EXACTX,271,271,100.0,100.0,271,WP_000018329.1,aminoglycoside O-phosphotransferase APH(3')-Ia,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0005
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0006,2043,2900,-,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027050.1,broad-spectrum class A beta-lactamase TEM-116,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0006
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0008,2025,2882,-,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027050.1,broad-spectrum class A beta-lactamase TEM-116,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0008
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0008,4885,5676,-,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,core,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,EXACTX,264,264,100.0,100.0,264,WP_000572405.1,aminoglycoside O-phosphotransferase APH(3')-IIa,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0008
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0014,2192,3049,+,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027050.1,broad-spectrum class A beta-lactamase TEM-116,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0014
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0014,6733,7590,+,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027050.1,broad-spectrum class A beta-lactamase TEM-116,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0014
