sequence,qseqid,ori_type,pct_identity,pct_cov_subject,q_start,q_end,strand,qlen,sstart,send,slen,length,bitscore,evalue
seq_0,seq_0,ColE1,99.83,100.0,12161,12749,+,34193,1,589,589,589,1058,0.0
seq_0,seq_0,ColE1,99.83,100.0,21181,21769,+,34193,1,589,589,589,1058,0.0
seq_0,seq_0,ColE1,99.83,100.0,32117,32705,+,34193,1,589,589,589,1058,0.0
seq_0,seq_0,ColE1,99.66,100.0,2987,3575,+,34193,1,589,589,589,1054,0.0
seq_1,seq_1,ColE1,99.83,100.0,2063,2651,+,8845,1,589,589,589,1058,0.0
seq_1,seq_1,ColE1,99.66,100.0,5689,6277,+,8845,1,589,589,589,1054,0.0
seq_10,seq_10,ColE1,99.83,100.0,2296,2884,+,7529,1,589,589,589,1058,0.0
seq_11,seq_11,ColE1,99.66,100.0,18167,18755,-,26626,589,1,589,589,1054,0.0
seq_11,seq_11,ColE1,99.66,100.0,12231,12819,+,26626,1,589,589,589,1054,0.0
seq_11,seq_11,ColE1,99.66,100.0,3604,4192,-,26626,589,1,589,589,1054,0.0
seq_11,seq_11,ColE1,99.491,100.0,6084,6672,+,26626,1,589,589,589,1049,0.0
seq_12,seq_12,ColE1,99.83,100.0,10801,11389,+,21506,1,589,589,589,1058,0.0
seq_12,seq_12,ColE1,99.66,100.0,1922,2510,+,21506,1,589,589,589,1054,0.0
seq_12,seq_12,ColE1,99.66,100.0,18328,18916,+,21506,1,589,589,589,1054,0.0
seq_12,seq_12,Col(pHAD28)_1__KU674895,89.313,100.0,19600,19730,-,21506,131,1,131,131,174,2.64e-43
seq_12,seq_12,Col(pHAD28)_1__KU674895,89.313,100.0,2936,3066,-,21506,131,1,131,131,174,2.64e-43
seq_13,seq_13,ColE1,99.66,100.0,4656,5244,+,7094,1,589,589,589,1054,0.0
seq_13,seq_13,ColE1,99.66,100.0,241,829,-,7094,589,1,589,589,1054,0.0
seq_14,seq_14,ColE1,99.66,100.0,2404,2992,+,4798,1,589,589,589,1054,0.0
seq_15,seq_15,ColE1,99.83,100.0,3123,3711,+,10094,1,589,589,589,1058,0.0
seq_15,seq_15,ColE1,99.491,100.0,6465,7053,-,10094,589,1,589,589,1049,0.0
seq_16,seq_16,ColE1,99.83,100.0,3210,3798,+,12754,1,589,589,589,1058,0.0
seq_16,seq_16,ColE1,99.83,100.0,9124,9712,+,12754,1,589,589,589,1058,0.0
seq_17,seq_17,ColE1,99.66,100.0,12856,13444,-,14833,589,1,589,589,1054,0.0
seq_17,seq_17,ColE1,99.66,100.0,4417,5005,+,14833,1,589,589,589,1054,0.0
seq_17,seq_17,Col(pHAD28)_1__KU674895,89.313,100.0,739,869,-,14833,131,1,131,131,174,1.82e-43
seq_18,seq_18,ColE1,99.66,100.0,24071,24659,-,26356,589,1,589,589,1054,0.0
seq_18,seq_18,ColE1,99.66,100.0,3614,4202,+,26356,1,589,589,589,1054,0.0
seq_18,seq_18,ColE1,99.66,100.0,10525,11113,+,26356,1,589,589,589,1054,0.0
seq_18,seq_18,ColE1,99.66,100.0,20126,20714,+,26356,1,589,589,589,1054,0.0
