Plasmid_ID,Ori's present,Identity of each ori,Cov of each ori,ARG's present,Identity of ARGs,Cov of ARGs
seq_0,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_1,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_12,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_13,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_15,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_17,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_19,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_20,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_21,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_22,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_23,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_25,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_27,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_28,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_29,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_3,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_30,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_31,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_33,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_34,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_35,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_36,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_37,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_39,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_4,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_41,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_42,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_43,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_44,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_45,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_46,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_47,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_48,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_49,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_5,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_6,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_7,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_9,ColE1,99.66,100.00,blaTEM-116,100.00,100.00
seq_91,ColE1,99.83,100.00,blaTEM-116,100.00,100.00
