sequence,symbol,name,start,end,strand,pct_identity,pct_cov
seq_0,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1956,2813,+,100.0,100.0
seq_0,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,11130,11987,+,100.0,100.0
seq_0,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,20150,21007,+,100.0,100.0
seq_0,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,30715,31506,+,99.62,100.0
seq_1,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1032,1889,+,100.0,100.0
seq_1,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,4287,5078,+,99.62,100.0
seq_10,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1362,2174,-,100.0,100.0
seq_11,ble-Sh,phleomycin/bleomycin binding protein Ble-Sh,2658,3029,+,100.0,100.0
seq_11,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4366,5223,-,100.0,100.0
seq_11,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,11200,12057,+,100.0,100.0
seq_11,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,16627,17418,+,100.0,100.0
seq_11,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,18929,19786,-,100.0,100.0
seq_12,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,1038,1826,+,100.0,100.0
seq_12,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,9867,10679,-,100.0,100.0
seq_12,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,17297,18154,+,100.0,100.0
seq_13,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,3254,4045,+,99.62,100.0
seq_14,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1448,2254,+,99.26,100.0
seq_15,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,1721,2512,+,99.62,100.0
seq_15,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,7227,8084,-,100.0,100.0
seq_16,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,380,1066,-,100.0,85.13
seq_16,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,2179,3036,+,100.0,100.0
seq_16,tet(C),tetracycline efflux MFS transporter Tet(C),5058,5678,-,100.0,52.27
seq_16,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,8093,8950,+,100.0,100.0
seq_16,tet(C),tetracycline efflux MFS transporter Tet(C),10975,11595,-,100.0,52.27
seq_17,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3386,4243,+,100.0,100.0
seq_17,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,13618,14475,-,100.0,100.0
seq_18,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2583,3440,+,100.0,100.0
seq_18,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,9494,10351,+,100.0,100.0
seq_18,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,18724,19515,+,99.62,100.0
seq_18,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,24833,25690,-,100.0,100.0
seq_19,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,2351,3142,+,99.62,100.0
seq_19,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,8057,8914,-,100.0,100.0
seq_2,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,1649,2440,+,99.62,100.0
seq_2,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,7988,8845,-,100.0,100.0
seq_20,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,679,1536,+,100.0,100.0
seq_20,blaTEM-171,class A beta-lactamase TEM-171,2551,3408,+,100.0,100.0
seq_21,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,2312,3103,+,100.0,100.0
seq_21,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4614,5471,-,100.0,100.0
seq_21,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,8323,9180,+,100.0,100.0
seq_21,ble-Sh,phleomycin/bleomycin binding protein Ble-Sh,10792,11163,+,100.0,100.0
seq_22,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,2022,2813,+,100.0,100.0
seq_22,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4324,5181,-,100.0,100.0
seq_23,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3722,4579,+,100.0,100.0
seq_23,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,15007,15819,-,100.0,100.0
seq_23,blaTEM,TEM family class A beta-lactamase,20863,21765,-,95.02,100.0
seq_24,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,6449,7240,+,99.62,100.0
seq_24,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,12453,13310,-,100.0,100.0
seq_25,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,5052,5909,+,100.0,100.0
seq_25,aac(3)-Ia,aminoglycoside N-acetyltransferase AAC(3)-Ia,7296,7757,-,100.0,100.0
seq_26,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,2349,3140,+,99.62,100.0
seq_26,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,5841,6647,+,99.26,100.0
seq_26,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,11874,12731,-,100.0,100.0
seq_27,ble-Sh,phleomycin/bleomycin binding protein Ble-Sh,2971,3342,+,100.0,100.0
seq_27,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4809,5666,-,100.0,100.0
seq_27,blaTEM-171,class A beta-lactamase TEM-171,14337,15194,+,100.0,100.0
seq_27,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,20473,21330,-,100.0,100.0
seq_28,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3606,4463,+,100.0,100.0
seq_28,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,10780,11637,+,100.0,100.0
seq_29,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,1578,2369,+,99.62,100.0
seq_29,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4968,5825,-,100.0,100.0
seq_29,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,7141,7932,+,100.0,100.0
seq_29,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,9443,10300,-,100.0,100.0
seq_29,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,13886,14743,+,100.0,100.0
seq_29,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,17868,18725,+,100.0,100.0
seq_29,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,27881,28738,+,100.0,100.0
seq_3,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,456,1313,+,100.0,100.0
seq_3,catA1,type A-1 chloramphenicol O-acetyltransferase,9275,9931,-,100.0,100.0
seq_30,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,2269,3081,-,100.0,100.0
seq_30,blaTEM-171,class A beta-lactamase TEM-171,7722,8579,+,100.0,100.0
seq_31,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1529,2386,+,100.0,100.0
seq_31,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,6315,7172,+,100.0,100.0
seq_31,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,10152,10943,+,99.62,100.0
seq_32,blaTEM,TEM family class A beta-lactamase,9,572,+,98.94,65.73
seq_32,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,3016,3873,+,100.0,100.0
seq_32,tet(C),tetracycline efflux MFS transporter Tet(C),5895,6515,-,100.0,52.27
seq_32,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,12374,13231,-,100.0,100.0
seq_33,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,5878,6735,+,100.0,100.0
seq_33,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,15167,16024,+,100.0,100.0
seq_33,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,22846,23703,+,100.0,100.0
seq_33,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,28925,29782,+,100.0,100.0
seq_34,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3419,4276,+,100.0,100.0
seq_35,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,2401,3192,+,99.62,100.0
seq_35,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,7095,7952,-,100.0,100.0
seq_37,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2430,3287,+,100.0,100.0
seq_37,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,8003,8860,-,100.0,100.0
